"wikidataURI","namaUniversitas","tanggalBerdiri","jumlahMahasiswa","kota","abstrak"
"http://www.wikidata.org/entity/Q4200297","Sriwijaya University",,,"Ogan Ilir Regency",
"http://www.wikidata.org/entity/Q4200297","Sriwijaya University",,,"Palembang",
"http://www.wikidata.org/entity/Q25469604","State Islamic Institute of Teungku Dirundeng Meulaboh",,,"West Aceh Regency",
"http://www.wikidata.org/entity/Q7603606","State University of Gorontalo",,,"Gorontalo (city)",
"http://www.wikidata.org/entity/Q7603607","State University of Makassar",,54000,"Makassar",
"http://www.wikidata.org/entity/Q7603611","State University of Medan",,,"Medan",
"http://www.wikidata.org/entity/Q7603634","State University of Padang",,30000,"Padang",
"http://www.wikidata.org/entity/Q7603641","State University of Semarang",,55,"Semarang",
"http://www.wikidata.org/entity/Q12712165","State University of Jakarta",,32,,
"http://www.wikidata.org/entity/Q18941968","State University of Surabaya",,31,"Surabaya",
"http://www.wikidata.org/entity/Q4250919","State University of Malang",,32958,"Blitar",
"http://www.wikidata.org/entity/Q4250919","State University of Malang",,32958,"Malang",
"http://www.wikidata.org/entity/Q12522871","Sultan Syarif Kasim II State Islamic University",,,"Pekanbaru",
,"Sumatra Institute of Technology",,,"South Lampung Regency",
"http://www.wikidata.org/entity/Q12486124","Sunan Ampel State Islamic University Surabaya",,17,"Surabaya",
"http://www.wikidata.org/entity/Q13098212","Sunan Gunung Djati State Islamic University Bandung",,,"Bandung",
"http://www.wikidata.org/entity/Q12523348","Sunan Kalijaga State Islamic University",,,"Sleman Regency",
"http://www.wikidata.org/entity/Q7645281","Surabaya Shipbuilding State Polytechnic",,,"Surabaya",
"http://www.wikidata.org/entity/Q12518185","Surya University",,,"Tangerang",
"http://www.wikidata.org/entity/Q600107","Swiss German University",,,"Alam Sutera",
"http://www.wikidata.org/entity/Q12523349","Syarif Hidayatullah State Islamic University Jakarta",,23000,"South Tangerang",
"http://www.wikidata.org/entity/Q3958218","Syiah Kuala University",,,"Banda Aceh",
"http://www.wikidata.org/entity/Q12523473","Tadulako University",,24,"Palu",
"http://www.wikidata.org/entity/Q7686915","Tarumanagara University",,,,
"http://www.wikidata.org/entity/Q7697348","Telkom Institute of Management",,,"Bandung",
"http://www.wikidata.org/entity/Q3846721","Telkom Institute of Technology",,,"Bandung",
"http://www.wikidata.org/entity/Q108739769","Telkom Institute of Technology Jakarta",,,"West Jakarta",
,"Telkom Purwokerto Institute of Technology",,,"Purwokerto",
"http://www.wikidata.org/entity/Q15057698","Telkom University",,35,"Bandung Regency",
"http://www.wikidata.org/entity/Q19744849","Teuku Umar University",,,,
"http://www.wikidata.org/entity/Q13098271","Tidar University",,,"Magelang",
"http://www.wikidata.org/entity/Q4250926","Trisakti University",,23149,"Jakarta",
"http://www.wikidata.org/entity/Q7847992","Trunojoyo University",,,"Bangkalan",
"http://www.wikidata.org/entity/Q1573634","Udayana University",,18297,"Jimbaran",
,"Universitas Klabat",,3000,"Manado",
"http://www.wikidata.org/entity/Q7894417","Universitas Siswa Bangsa Internasional",,478,"Jakarta",
"http://www.wikidata.org/entity/Q19744754","University of Abulyatama",,,"Aceh Besar Regency",
"http://www.wikidata.org/entity/Q12511331","University of Amikom Yogyakarta",,,"Special Region of Yogyakarta",
"http://www.wikidata.org/entity/Q12511331","University of Amikom Yogyakarta",,,"Sleman Regency",
"http://www.wikidata.org/entity/Q12523298","University of Bangka Belitung",,,"Pangkalpinang",
"http://www.wikidata.org/entity/Q7481592","University of Bengkulu",,,"Bengkulu (city)",
"http://www.wikidata.org/entity/Q7895547","University of International Golden Indonesia",,2500,"Jakarta",
"http://www.wikidata.org/entity/Q6127803","University of Jambi",,,"Jambi (city)",
"http://www.wikidata.org/entity/Q13098258","University of Jember",,,"Jember Regency",
"http://www.wikidata.org/entity/Q21074467","University of Lampung",,,"Bandar Lampung",
"http://www.wikidata.org/entity/Q25300698","University of Mataram",,,"Mataram (city)",
"http://www.wikidata.org/entity/Q7895720","University of Mataram",,,"Mataram (city)",
"http://www.wikidata.org/entity/Q12523434","University of National Education",,,"Denpasar",
"http://www.wikidata.org/entity/Q4200341","University of North Sumatra",,51,"Medan",
"http://www.wikidata.org/entity/Q7896055","University of Palangka Raya",,,"Palangka Raya",
"http://www.wikidata.org/entity/Q7896071","University of Pattimura",,11786,"Ambon, Maluku",
"http://www.wikidata.org/entity/Q7322177","University of Riau",,,"Pekanbaru",
"http://www.wikidata.org/entity/Q7896272","University of Sarjanawiyata Tamansiswa in Yogyakarta",,,"Yogyakarta",
"http://www.wikidata.org/entity/Q25053184","University of Singaperbangsa Karawang",,,"West Java",
"http://www.wikidata.org/entity/Q25053184","University of Singaperbangsa Karawang",,,"Karawang",
"http://www.wikidata.org/entity/Q7896370","University of Surabaya",,,"Surabaya",
"http://www.wikidata.org/entity/Q7896370","University of Surabaya",,,"Rungkut",
"http://www.wikidata.org/entity/Q12523475","University of Timor",,,,
"http://www.wikidata.org/entity/Q11223593","Walisongo State Islamic University",,20000,"Semarang",
"http://www.wikidata.org/entity/Q19744853","Warmadewa University",,19158,"Denpasar",
"http://www.wikidata.org/entity/Q12523365","Widya Mandala Catholic University",,,"Surabaya",
"http://www.wikidata.org/entity/Q12523483","Wijaya Kusuma University, Surabaya",,,"Surabaya",
"http://www.wikidata.org/entity/Q12523484","Wijaya Putra University",,,"Surabaya",
"http://www.wikidata.org/entity/Q8045825","YARSI University",,4850,"Central Jakarta",
