kode_politikus;politikus;kode_Kerabat;kerabat_politikus;tipe_kerabat
Q123715122;Hd. Dianovri Harpama;Q109432805;Hamsuardi;PARENT
Q120579456;Herry Asiku;Q120579640;Indra Hadiwinanto;CHILD
Q120579456;Herry Asiku;Q120579647;Satria Hadiwinanto;CHILD
Q123870790;Indra Dt. Rajo Lelo;Q123726249;Yuri Hadiah;SPOUSE
Q97670139;Kemal Redindo Syahrul;Q97670113;Ayu Sri Harahap;PARENT
Q97670139;Kemal Redindo Syahrul;Q10860301;Syahrul Yasin Limpo;PARENT
Q123877941;Kevin Wu;Q112730643;Clarissa Wu;CHILD
Q123713415;Lita Machfud Arifin;Q28724425;Machfud Arifin;SPOUSE
Q123715089;Machdalena;Q109436275;Erwin Yunaz;SPOUSE
Q123896134;Mardhiyah M. Kasuba;Q112897382;Hasan Ali Bassam Kasuba;SIBLING
Q123896134;Mardhiyah M. Kasuba;Q123716921;Izzuddin Alqassam Kasuba;SIBLING
Q123896134;Mardhiyah M. Kasuba;Q65211883;Muhammad Kasuba;PARENT
Q123871338;Mario Syah Johan;Q123714976;Armen Syahjohan;SIBLING
Q126371609;Muhammad Kamil Syaikhu;Q12470972;Ahmad Syaikhu;PARENT
Q123716910;Muhammad Thariq Kasuba;Q16162222;Abdul Ghani Kasuba;PARENT
Q123716910;Muhammad Thariq Kasuba;Q123895787;Nazlatan Ukhra Kasuba;SIBLING
Q123699662;Natalia Cecilia Tanudjaja;Q120203387;Fabienne Nicole;CHILD
Q123895787;Nazlatan Ukhra Kasuba;Q123716910;Muhammad Thariq Kasuba;SIBLING
Q123895787;Nazlatan Ukhra Kasuba;Q16162222;Abdul Ghani Kasuba;PARENT
Q123887063;Prabasa Anantatur;Q61118739;Rubaeti Erlita;SPOUSE
Q123871426;Rapta Saleleubaja;Q109437739;Edison Saleleubaja;PARENT
Q97670151;Rinra Sujiwa Syahrul;Q97670113;Ayu Sri Harahap;PARENT
Q97670151;Rinra Sujiwa Syahrul;Q10860301;Syahrul Yasin Limpo;PARENT
Q123872168;Siti Aisyah;Q120221128;Abdul Wahid;SIBLING
Q123865841;Tezar Azwar;Q4833145;Azwar Abubakar;PARENT
Q123870589;Tiorita Br. Surbakti;Q126485497;Dewa Rencana Perangin Angin;CHILD
Q123870589;Tiorita Br. Surbakti;Q61118532;Terbit Rencana Perangin Angin;SPOUSE
Q123710024;Wahyu Purwanto;Q123924554;Iit Sri Yantini;SPOUSE
Q123709739;Yan Santoso D. Purba;Q130215897;Grease Melia Putri Santoso Purba;CHILD
Q123709739;Yan Santoso D. Purba;Q123869229;Artha Berliana Samosir;SPOUSE
Q123871351;Yogi Pratama;Q25469360;Khairunas;PARENT
Q123871039;Yunisra Syahiran;Q25463204;Syahiran;SPOUSE
Q123726249;Yuri Hadiah;Q123870790;Indra Dt. Rajo Lelo;SPOUSE
Q123714980;Zahra Mardiah Anwar;Q25468221;Rusma Yul Anwar;PARENT
Q12470452;A. Murady Darmansjah;Q124313241;Dwi Sumik Prihartini;SPOUSE
Q97704943;Aa Umbara Sutisna;Q123219197;Rian Firmansyah;CHILD
Q123726148;Abcandra Muhammad Akbar Supratman;Q123290568;Supratman Andi Agtas;PARENT
Q2978474;Abdoel Halim;Q123900419;Achmad Sutan Mangkuto;PARENT
Q2978474;Abdoel Halim;Q123900439;Darama;PARENT
Q115284122;Abdoel Rasjid;Q109439936;Mangaraja Soangkupon;SIBLING
Q17410163;Abdul Gaffar Ismail;Q123907526;Sitti Nur Muhammad Nur;SPOUSE
Q17410163;Abdul Gaffar Ismail;Q2670449;Taufiq Ismail;CHILD
Q61118413;Abdul Gafur Mas'ud;Q111596749;Mas'ud;PARENT
Q61118413;Abdul Gafur Mas'ud;Q25469565;Rahmad Mas'ud;SIBLING
Q16162222;Abdul Ghani Kasuba;Q123716910;Muhammad Thariq Kasuba;CHILD
Q16162222;Abdul Ghani Kasuba;Q123895787;Nazlatan Ukhra Kasuba;CHILD
Q16162222;Abdul Ghani Kasuba;Q65211883;Muhammad Kasuba;SIBLING
Q109724917;Abdul Hadi Wijaya;Q123305348;Diah Nurwitasari;SPOUSE
Q72061441;Abdul Halim Iskandar;Q12499327;Muhaimin Iskandar;SIBLING
Q72061441;Abdul Halim Iskandar;Q106589401;Muhammad Iskandar;PARENT
Q72061441;Abdul Halim Iskandar;Q106589402;Muhassonah;PARENT
Q317291;Abdul Haris Nasution;Q123474068;Q123474068;SPOUSE
Q127868910;Abdul Manap;Q109430879;Zoerman Manap;CHILD
Q127868910;Abdul Manap;Q109438625;Arifien Manap;CHILD
Q109433966;Abdul Muin Datuk Rangkayo Maharajo;Q19742786;Syamsidar Yahya;SPOUSE
Q109433966;Abdul Muin Datuk Rangkayo Maharajo;Q134527526;Fatimah;PARENT
Q109433966;Abdul Muin Datuk Rangkayo Maharajo;Q134527527;Abdul Rauf;PARENT
Q109433966;Abdul Muin Datuk Rangkayo Maharajo;Q134527517;Indam Dewi;SIBLING
Q1401053;Abdul Muis;Q112620857;Diana Moeis;CHILD
Q1401053;Abdul Muis;Q112623490;Achir Moeis;CHILD
Q1401053;Abdul Muis;Q112623619;Siti Kencana Moeis;CHILD
Q1401053;Abdul Muis;Q130341424;Arifin St. Saidi Maharadja;SIBLING
Q1401053;Abdul Muis;Q112620267;Soelaiman Dt Toemanggoeng;PARENT
Q1401053;Abdul Muis;Q112620591;Siti Djariah;PARENT
Q1401053;Abdul Muis;Q112620858;Sunarsih;SPOUSE
Q25471318;Abdul Rahman;Q123914190;Sriwahyu Zet;SPOUSE
Q25471318;Abdul Rahman;Q123914198;Ibnu Abbas;PARENT
Q95971823;Abdul Rasid;Q23009991;Ariani;SPOUSE
Q120221128;Abdul Wahid;Q123872168;Siti Aisyah;SIBLING
Q120714282;Abdullah Nur;Q120774118;Sri Banun;SPOUSE
Q120714282;Abdullah Nur;Q120798610;Juriah;SPOUSE
Q120714282;Abdullah Nur;Q120726682;Haji Muhammad Nur;PARENT
Q120714282;Abdullah Nur;Q120774143;Zawiyah;CHILD
Q120714282;Abdullah Nur;Q120726684;Mardiah;PARENT
Q85988352;Abdullah Tuasikal;Q97590775;Amrullah Amri Tuasikal;CHILD
Q16162642;Abdurachman Sarbini;Q109449328;Sri Adiyati Alimudin;SPOUSE
Q16162642;Abdurachman Sarbini;Q109449218;Aries Sandi Darma Putra;CHILD
Q55766298;Abdurrahman Shihab;Q2840640;Alwi Shihab;CHILD
Q55766298;Abdurrahman Shihab;Q55238732;M. Quraish Shihab;CHILD
Q55766298;Abdurrahman Shihab;Q56511458;Ahmad Nizar Shihab;CHILD
Q55766298;Abdurrahman Shihab;Q56524376;Umar Shihab;CHILD
Q76167;Abdurrahman Wahid;Q4264061;Sinta Nuriyah;SPOUSE
Q76167;Abdurrahman Wahid;Q3572174;Yenny Wahid;CHILD
Q76167;Abdurrahman Wahid;Q64824748;Alissa Qotrunnada;CHILD
Q76167;Abdurrahman Wahid;Q64824842;Anita Hayatunnufus;CHILD
Q76167;Abdurrahman Wahid;Q64824904;Inayah Wulandari;CHILD
Q76167;Abdurrahman Wahid;Q12511575;Salahuddin Wahid;SIBLING
Q76167;Abdurrahman Wahid;Q16188244;Lily Chodidjah Wahid;SIBLING
Q76167;Abdurrahman Wahid;Q56392155;Hasyim Wahid;SIBLING
Q76167;Abdurrahman Wahid;Q981398;Wahid Hasjim;PARENT
Q76167;Abdurrahman Wahid;Q100699458;Sholihah Bisri;PARENT
Q4667741;Abikusno Tjokrosujono;Q55559888;RM Tjokroamiseno;PARENT
Q4667741;Abikusno Tjokrosujono;Q2603591;Oemar Said Tjokroaminoto;SIBLING
Q12470623;Abu Hanifah (menteri);Q130341550;Ismail Dt. Manggung;PARENT
Q12470623;Abu Hanifah (menteri);Q130341552;Siti Fatimah Zahra;PARENT
Q12470623;Abu Hanifah (menteri);Q3089681;Usmar Ismail;SIBLING
Q12470634;Abubakar Jaar;Q135778143;Dja’ar Sutan Pamuncak;PARENT
Q12470634;Abubakar Jaar;Q135778144;Siti Dalisah;SIBLING
Q336042;Aburizal Bakrie;Q106702856;Tatty Murnitriati;SPOUSE
Q336042;Aburizal Bakrie;Q12472166;Anindya Bakrie;CHILD
Q336042;Aburizal Bakrie;Q56416988;Anindra Ardiansyah Bakrie;CHILD
Q336042;Aburizal Bakrie;Q104412394;Anindhita Anestya Bakrie;CHILD
Q336042;Aburizal Bakrie;Q106702449;Nirwan Bakrie;SIBLING
Q336042;Aburizal Bakrie;Q12470645;Achmad Bakrie;PARENT
Q336042;Aburizal Bakrie;Q106702451;Roosniah Nasution;PARENT
Q17410841;Achmad Dimyati Natakusumah;Q25469477;Irna Narulita;SPOUSE
Q17410841;Achmad Dimyati Natakusumah;Q93388029;Rizki Aulia Rahman Natakusumah;CHILD
Q17410841;Achmad Dimyati Natakusumah;Q109449644;Rizka Amalia R Natakusumah;CHILD
Q76297;Adam Malik;Q12500336;Nelly Adam Malik;SPOUSE
Q12470687;Adang Daradjatun;Q12501007;Nunun Nurbaetie;SPOUSE
Q85988433;Adde Rosi Khoerunnisa;Q16167068;Andika Hazrumy;SPOUSE
Q18421322;Ade Komarudin;Q96988370;Puteri Anetta Komarudin;CHILD
Q123152749;Ade Puspitasari;Q25466277;Rahmat Effendi;PARENT
Q19723696;Ade Rezki Pratama;Q123943800;Intan Febrina Syahdati;SPOUSE
Q19723696;Ade Rezki Pratama;Q123943801;Prinselia Ghaida Adzkiana;CHILD
Q19723696;Ade Rezki Pratama;Q123943766;Emiyarti;PARENT
Q19723696;Ade Rezki Pratama;Q12500334;Nelson Septiadi;PARENT
Q123868346;Ade Sumardi;Q130345188;Sukarni Butan;SPOUSE
Q56161334;Ade Yasin;Q19752642;Rahmat Yasin;SIBLING
Q17410346;Adeke Dini Fahransa;Q123252098;Ranny Nooraini Jabbar;PARENT
Q17410346;Adeke Dini Fahransa;Q123252149;Burhani Rahman;PARENT
Q4264085;Adenan Kapau Gani;Q123944121;Abdulgani Sutan Mangkuto;PARENT
Q4264085;Adenan Kapau Gani;Q123944133;Rabayah;PARENT
Q17410348;Adi Gunawan;Q123944744;Zaksai Kasni;SPOUSE
Q17410349;Adi Putra Darmawan Tahir;Q123945601;Rahmi Lestari;SPOUSE
Q17410349;Adi Putra Darmawan Tahir;Q19731607;Rooslila Tahir;PARENT
Q17410349;Adi Putra Darmawan Tahir;Q12494918;Linda Amalia Sari;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q16173631;Dali Tahir;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q123945688;Gelora Surya Dharma;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q123945692;Heriyanto Tahir;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q123945697;Hari Indra Utama;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q123945706;Yulia Saprita;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q123945718;Chaerul Permata Cita;SIBLING
Q17410349;Adi Putra Darmawan Tahir;Q12470654;Achmad Tahir;PARENT
Q96988409;Adies Kadir;Q26705152;Abdul Kadir Mappong;PARENT
Q104830804;Aditya Halindra Faridzky;Q12485056;Haeny Relawati Rini Widyastuti;PARENT
Q31173542;Aditya Zoni;Q123964570;Sri Mulyatini;PARENT
Q31173542;Aditya Zoni;Q19723897;Ammar Zoni;SIBLING
Q31173542;Aditya Zoni;Q56394074;Panji Zoni;SIBLING
Q31173542;Aditya Zoni;Q123964568;Suhendri Zoni Alruvi;PARENT
Q31173542;Aditya Zoni;Q123964573;Yasmine Ow;SPOUSE
Q49252248;Adiwarsita Adinegoro;Q4250939;Adinegoro;PARENT
Q49252248;Adiwarsita Adinegoro;Q123969692;Alidas;PARENT
Q49252248;Adiwarsita Adinegoro;Q124314752;Udin Adinegoro;SIBLING
Q49252248;Adiwarsita Adinegoro;Q12503825;Paula Rumokoy;SPOUSE
Q49252248;Adiwarsita Adinegoro;Q123969917;Endang Sri Soerjantini;SPOUSE
Q4683174;Adjie Massaid;Q6107468;Reza Artamevia;SPOUSE
Q4683174;Adjie Massaid;Q13091583;Angelina Sondakh;SPOUSE
Q4683174;Adjie Massaid;Q16188259;Linda Djalil;SPOUSE
Q65212430;Adnan Purichta Ichsan;Q16182111;Ichsan Yasin Limpo;PARENT
Q96988709;Adrian Jopie Paruntu;Q16172501;Christiany Eugenia Paruntu;PARENT
Q49253904;Adriatma Dwi Putra;Q16168802;Asrun;PARENT
Q49253904;Adriatma Dwi Putra;Q108775557;Siska Karina Imran;SPOUSE
Q16163751;Adrin Kahar;Q12488464;Kaharudin Datuk Rangkayo Basa;PARENT
Q16163751;Adrin Kahar;Q124332419;Irawati;SPOUSE
Q16163751;Adrin Kahar;Q124332420;Rinati Adrin;CHILD
Q16163751;Adrin Kahar;Q124332421;Rika Martiwi;CHILD
Q16163751;Adrin Kahar;Q124332422;Rizman Febrian;CHILD
Q16163751;Adrin Kahar;Q123983212;Mariah;PARENT
Q16163751;Adrin Kahar;Q16166722;Amrin Kahar;SIBLING
Q16163751;Adrin Kahar;Q19725425;Djohari Kahar;SIBLING
Q16163751;Adrin Kahar;Q124332454;Reno Gadis;SIBLING
Q16163751;Adrin Kahar;Q124332455;Mariati Kahar;SIBLING
Q12470885;Afdhal Yusman;Q123983952;Yusman Marzuki;PARENT
Q12470885;Afdhal Yusman;Q105661460;Fatmasury Dahlan;SPOUSE
Q12470885;Afdhal Yusman;Q123983961;Gusni Rosyad;PARENT
Q12470885;Afdhal Yusman;Q123983975;Reynand Messi Afdhal;CHILD
Q107085473;Afni Achmad;Q123984813;Yuzaini Azman;SPOUSE
Q108889808;Afriansyah Noor;Q123985266;Putri Ariska Anggraini Noor;CHILD
Q108889808;Afriansyah Noor;Q123985270;Akmal Farhansyah Razzak;CHILD
Q108889808;Afriansyah Noor;Q123985280;Lutfia Nur Hasna Rahmatika;CHILD
Q108889808;Afriansyah Noor;Q123985285;Putra Ramzzysyah Noor Razak;CHILD
Q108889808;Afriansyah Noor;Q123985261;Fauzi Noor;PARENT
Q108889808;Afriansyah Noor;Q123985265;Lin Nurhayani;SPOUSE
Q108889808;Afriansyah Noor;Q123985263;Upik Tando;PARENT
Q12470892;Afrizal;Q123985315;Elsa Deviani;SPOUSE
Q109437117;Afrizal Sintong;Q123712125;dr. Maharani (politisi);SIBLING
Q19751242;Aggy Tjetje;Q97202238;Jusuf Hamka;SIBLING
Q19751242;Aggy Tjetje;Q119233422;Joseph Suhaimi;PARENT
Q4694586;Agum Gumelar;Q106977528;Zeke Khaseli;CHILD
Q4694586;Agum Gumelar;Q12494918;Linda Amalia Sari;SPOUSE
Q2581141;Agung Laksono;Q96988377;Dave Akbarshah Fikarno;CHILD
Q12470931;Agus Gumiwang Kartasasmita;Q5562954;Ginandjar Kartasasmita;PARENT
Q12470931;Agus Gumiwang Kartasasmita;Q12495072;Loemongga;SPOUSE
Q12470931;Agus Gumiwang Kartasasmita;Q118881094;Galih Dimuntur Kartasasmita;SIBLING
Q7805962;Agus Harimurti Yudhoyono;Q4200758;Kristiani Herrawati;PARENT
Q7805962;Agus Harimurti Yudhoyono;Q7806029;Edhie Baskoro Yudhoyono;SIBLING
Q7805962;Agus Harimurti Yudhoyono;Q7806784;Annisa Pohan;SPOUSE
Q7805962;Agus Harimurti Yudhoyono;Q57405;Susilo Bambang Yudhoyono;PARENT
Q7805962;Agus Harimurti Yudhoyono;Q101424625;Almira Tunggadewi Yudhoyono;CHILD
Q7805962;Agus Harimurti Yudhoyono;Q138836910;Arjuna Hanyokrokusumo Yudhoyono;CHILD
Q137896159;Ahmad Dahlan;Q20278486;Oemar Dachlan;SIBLING
Q4695305;Ahmad Dhani;Q106197917;Eddy Abdul Manaf;PARENT
Q4695305;Ahmad Dhani;Q16162417;Dul Jaelani;CHILD
Q4695305;Ahmad Dhani;Q16164465;Al Ghazali;CHILD
Q4695305;Ahmad Dhani;Q16164536;Ahmad El Jallaludin Rumi;CHILD
Q4695305;Ahmad Dhani;Q106696637;Safeea Ahmad;CHILD
Q4695305;Ahmad Dhani;Q106197863;Joyce Theresia Pamela Kohler;PARENT
Q4695305;Ahmad Dhani;Q3234938;Mulan Jameela;SPOUSE
Q16164536;Ahmad El Jallaludin Rumi;Q4695305;Ahmad Dhani;PARENT
Q16164536;Ahmad El Jallaludin Rumi;Q4349443;Maia Estianty;PARENT
Q16164536;Ahmad El Jallaludin Rumi;Q16164465;Al Ghazali;SIBLING
Q16164536;Ahmad El Jallaludin Rumi;Q16162417;Dul Jaelani;SIBLING
Q132671021;Ahmad Fadly;Q12516588;Suir Syam;PARENT
Q12470959;Ahmad Kanedi;Q123999541;Armelly;SPOUSE
Q16164643;Ahmad Khatib Datuk Batuah;Q123999630;Saadiah;SPOUSE
Q16164643;Ahmad Khatib Datuk Batuah;Q123999631;Zainab;SPOUSE
Q16164643;Ahmad Khatib Datuk Batuah;Q123999643;Lenin;CHILD
Q16164643;Ahmad Khatib Datuk Batuah;Q123999647;Kartini;CHILD
Q16164694;Ahmad Mumtaz Rais;Q104155065;Futri Zulya Savitri;SPOUSE
Q16164694;Ahmad Mumtaz Rais;Q124160461;Putri Zulkifli Hasan;SPOUSE
Q56511458;Ahmad Nizar Shihab;Q2840640;Alwi Shihab;SIBLING
Q56511458;Ahmad Nizar Shihab;Q55238732;M. Quraish Shihab;SIBLING
Q56511458;Ahmad Nizar Shihab;Q56524376;Umar Shihab;SIBLING
Q56511458;Ahmad Nizar Shihab;Q55766298;Abdurrahman Shihab;PARENT
Q25468529;Ahmad Pairin;Q109431878;Ardito Wijaya;CHILD
Q12470962;Ahmad Rasyid Sutan Mansur;Q107028280;Fathimah Karim Amrullah;SPOUSE
Q12470962;Ahmad Rasyid Sutan Mansur;Q123999723;Fathimah Abdullah;SPOUSE
Q12470962;Ahmad Rasyid Sutan Mansur;Q107563597;Duski Samad;SIBLING
Q12470962;Ahmad Rasyid Sutan Mansur;Q107028278;Hanif Rasyid;CHILD
Q12470962;Ahmad Rasyid Sutan Mansur;Q126125016;Inin Salma Rasyid;CHILD
Q16164725;Ahmad Sahroni;Q123982329;Hernawati;PARENT
Q12470972;Ahmad Syaikhu;Q126371609;Muhammad Kamil Syaikhu;CHILD
Q16164943;Ahmed Zaki Iskandar;Q12486822;Ismet Iskandar;PARENT
Q16165013;Airin Rachmi Diany;Q94158479;Tubagus Chaeri Wardana;SPOUSE
Q12471140;Airlangga Hartarto;Q12485357;Hartarto Sastrosoenarto;PARENT
Q12471140;Airlangga Hartarto;Q104166497;Yanti K. Isfandiary;SPOUSE
Q12471140;Airlangga Hartarto;Q101424343;Hartini Hartarto;PARENT
Q12471140;Airlangga Hartarto;Q104166536;Adanti;CHILD
Q12471148;Aisyah Aminy;Q124024324;Muhammad Amin;PARENT
Q12471148;Aisyah Aminy;Q124024334;Jalisah;PARENT
Q12471148;Aisyah Aminy;Q127966490;Adnan Sjamni;SIBLING
Q12471254;Akhiroel Jahja;Q12486990;Jahja Datoek Kajo;PARENT
Q12471254;Akhiroel Jahja;Q119871600;Sjahrizan Jahja;PARENT
Q12471254;Akhiroel Jahja;Q16044599;Daan Jahja;SIBLING
Q12471254;Akhiroel Jahja;Q130348275;Chadriati Jahja;SIBLING
Q16164465;Al Ghazali;Q4695305;Ahmad Dhani;PARENT
Q16164465;Al Ghazali;Q4349443;Maia Estianty;PARENT
Q16164465;Al Ghazali;Q16162417;Dul Jaelani;SIBLING
Q16164465;Al Ghazali;Q16164536;Ahmad El Jallaludin Rumi;SIBLING
Q61119223;Al Yasin Ali;Q109861362;Muttiara T. Yasin;SPOUSE
Q61119223;Al Yasin Ali;Q123895929;Astri Tiarasari Yasin;CHILD
Q12471431;Aldi Taher;Q3025589;Dewi Persik;SPOUSE
Q12471431;Aldi Taher;Q108656267;Salsabillih;SPOUSE
Q104627897;Alex Asmasoebrata;Q12471455;Alexandra Asmasoebrata;CHILD
Q19723853;Alex Indra Lukman;Q123870732;Albert Hendra Lukman;SIBLING
Q4717563;Alex Noerdin;Q25468888;Dodi Reza Alex Noerdin;CHILD
Q121886766;Ali Algadri;Q122051780;Hafsa Surati;PARENT
Q121886766;Ali Algadri;Q121909439;Muhammad Algadri;PARENT
Q40168296;Ali Baal Masdar;Q17411390;Sjahrazad Masdar;SIBLING
Q40168296;Ali Baal Masdar;Q96987676;Andi Ruskati Ali Baal;SPOUSE
Q12471485;Ali Mazi;Q120576970;Sahrin;SIBLING
Q16166068;Ali Mukhni;Q123861404;Rena Sofia;SPOUSE
Q1393182;Ali Sadikin;Q31173523;Boy Sadikin;CHILD
Q2669326;Ali Sastroamidjojo;Q114882718;Kurnianingrat;SPOUSE
Q12471497;Ali Syakieb;Q47981117;Margin Wieheerm;SPOUSE
Q22133101;Alimuddin Umar;Q109449328;Sri Adiyati Alimudin;CHILD
Q16166149;Alis Marajo;Q123860899;Rismawati;SPOUSE
Q16166149;Alis Marajo;Q123860910;Elsi Risalma Putri;CHILD
Q16166149;Alis Marajo;Q123860913;Elsandri Novia;CHILD
Q16166149;Alis Marajo;Q123860924;Elfitrimelly;CHILD
Q16166149;Alis Marajo;Q123860929;Elfirisalma Putri;CHILD
Q16166149;Alis Marajo;Q123860940;Elmira Risalma Putri;CHILD
Q16166149;Alis Marajo;Q123860946;Eldesra Mahyori;CHILD
Q109693455;Alvin Joni;Q12488058;Joni Marsinih;PARENT
Q2840640;Alwi Shihab;Q55766298;Abdurrahman Shihab;PARENT
Q2840640;Alwi Shihab;Q104891449;Samira Shihab;CHILD
Q2840640;Alwi Shihab;Q104891459;Samy Shihab;CHILD
Q2840640;Alwi Shihab;Q104891460;Rizvi Shihab;CHILD
Q2840640;Alwi Shihab;Q55238732;M. Quraish Shihab;SIBLING
Q2840640;Alwi Shihab;Q56511458;Ahmad Nizar Shihab;SIBLING
Q2840640;Alwi Shihab;Q56524376;Umar Shihab;SIBLING
Q131351990;Amalia Desiana;Q109439810;Budhi Sarwono;PARENT
Q131351990;Amalia Desiana;Q96989567;Lasmi Indaryani;SIBLING
Q2202270;Amien Rais;Q7347498;Hanum Salsabiela Rais;CHILD
Q17998069;Amir Syarifuddin;Q124051149;Afni Bustami;SPOUSE
Q109563835;Amri Darwis;Q124051464;Romi Yelfia;SPOUSE
Q124794141;Amril Mukminin;Q112896307;Kasmarni;SPOUSE
Q108886928;Anak Agung Bagus Jelantik Sanjaya;Q122809332;A. A. Ayu Maha Indra Kemala Sanjaya;CHILD
Q16166804;Anak Agung Gede Ngurah Puspayoga;Q72117992;I Gusti Ayu Bintang Darmawati;SPOUSE
Q109426088;Ananda Tohpati;Q18421248;Siti Nurbaya Bakar;PARENT
Q4273018;Anang Hermansyah;Q13097978;Aurel Hermansyah;CHILD
Q4273018;Anang Hermansyah;Q106347888;Arsya Hermansyah;CHILD
Q4273018;Anang Hermansyah;Q106348075;Arsy Hermansyah;CHILD
Q4273018;Anang Hermansyah;Q106348293;Azriel Akbar Hermansyah;CHILD
Q4273018;Anang Hermansyah;Q4210071;Ashanty;SPOUSE
Q96987676;Andi Ruskati Ali Baal;Q40168296;Ali Baal Masdar;SPOUSE
Q123667774;Andi Seto Gadhista Asapa;Q108902733;Andi Rudiyanto Asapa;PARENT
Q49252587;Andi Sudirman Sulaiman;Q130297727;Andi B Sulaiman Dahlan Petta Linta;PARENT
Q49252587;Andi Sudirman Sulaiman;Q19752868;Amran Sulaiman;SIBLING
Q85988757;Andiara Aprilia Hikmat;Q16167068;Andika Hazrumy;SIBLING
Q85988757;Andiara Aprilia Hikmat;Q7296050;Ratu Atut Chosiyah;PARENT
Q16167068;Andika Hazrumy;Q15620237;Hikmat Tomet;PARENT
Q16167068;Andika Hazrumy;Q85988433;Adde Rosi Khoerunnisa;SPOUSE
Q16167068;Andika Hazrumy;Q7296050;Ratu Atut Chosiyah;PARENT
Q16167068;Andika Hazrumy;Q85988757;Andiara Aprilia Hikmat;SIBLING
Q109439643;Andra Soni;Q124077208;Tinawati;SPOUSE
Q12472050;Andre Rosiade;Q124077215;Yanziwar Ade;PARENT
Q12472050;Andre Rosiade;Q124077243;Nurul Anastasia;SPOUSE
Q12472050;Andre Rosiade;Q124077222;Rosita Yurnetty;PARENT
Q12472050;Andre Rosiade;Q124077233;Nurul Azizah Rosiade;CHILD
Q12472050;Andre Rosiade;Q124077276;Muhammad Ammar Tsaqif Rosiade;CHILD
Q85988791;Andri Singkarru;Q105970796;Rita Puspita;PARENT
Q72242032;Angela Tanoesoedibjo;Q102423133;Michael Dharmajaya;SPOUSE
Q72242032;Angela Tanoesoedibjo;Q118884653;Michael Stefan Dharmajaya;SPOUSE
Q72242032;Angela Tanoesoedibjo;Q15272197;Liliana Tanaja Tanoesoedibjo;PARENT
Q72242032;Angela Tanoesoedibjo;Q12485373;Hary Tanoesoedibjo;PARENT
