kode_politikus;politikus;kode_pendidikan;pendidikan
Q25469488;Damsuar;Q123813551;SD Negeri 2 Ampalu
Q109432836;Danang Maharsa;Q12511308;Sekolah Tinggi Ilmu Ekonomi Yayasan Keluarga Pahlawan Negara
Q109432836;Danang Maharsa;Q109432842;Sekolah Menengah Atas BOPKRI 1 Yogyakarta
Q12480793;Danar Rahmanto;Q19748156;SMA Negeri 3 Yogyakarta
Q12480859;Dani Anwar;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q96987329;Daniel Johan;Q7686915;Universitas Tarumanagara
Q97591315;Daniel Lumban Tobing;Q336264;Universitas Kyoto
Q96988373;Daniel Mutaqien Syafiuddin;Q350752;Universitas Islam Indonesia
Q97193875;Danik Eka Rahmaningtiyas;Q12523386;Universitas Muhammadiyah Jember
Q17410934;Danny Pomanto;Q478044;Universitas Hasanuddin
Q75078039;Danoesoegondo;Q12501424;Opleiding School Voor Inlandsche Ambtenaren
Q12480924;Darizal Basir;Q10862512;Akademi Militer
Q12480924;Darizal Basir;Q12510519;SMA Negeri 2 Padang
Q97307268;Darmawan;Q17997867;Akademi Kepolisian
Q25466103;Darmawan Prasodjo;Q49212;Universitas Texas A&M
Q131929425;Darmawangsyah Muin;Q12486657;Institut Teknologi Indonesia
Q49253756;Darmayanti Lubis;Q503424;Universitas Leeds
Q49253756;Darmayanti Lubis;Q1579397;Institut Teknologi Bandung
Q25467965;Darmin Sigilipu;Q12471192;Akademi Angkatan Laut
Q123219224;Darori Wonodipuro;Q1145992;Universitas Gadjah Mada
Q123219224;Darori Wonodipuro;Q4200341;Universitas Sumatera Utara
Q16173885;Darul Siska;Q12523355;Universitas Jayabaya
Q4258761;Darwin Zahedy Saleh;Q534515;Universitas Indonesia
Q16173957;Daryatmo Mardiyanto;Q1579397;Institut Teknologi Bandung
Q16173957;Daryatmo Mardiyanto;Q12712165;Universitas Negeri Jakarta
Q109433944;Das'ad Latif;Q478044;Universitas Hasanuddin
Q109433944;Das'ad Latif;Q1444125;Universitas Nasional Malaysia
Q109433944;Das'ad Latif;Q12522872;UIN Alauddin Makassar
Q109433944;Das'ad Latif;Q12523343;Universitas Islam Makassar
Q109861754;Dasril Affandi;Q534515;Universitas Indonesia
Q109438273;Dasril Panin Datuk Labuan;Q534515;Universitas Indonesia
Q109438273;Dasril Panin Datuk Labuan;Q12510519;SMA Negeri 2 Padang
Q109438273;Dasril Panin Datuk Labuan;Q123774084;SMP Negeri 5 Padang
Q16173966;Dasrul Djabar;Q12510366;SMA Negeri 1 Padang
Q16173966;Dasrul Djabar;Q109330048;SMP Negeri 4 Padang
Q12481017;Datuk Djamin;Q156598;Universitas Leiden
Q12481017;Datuk Djamin;Q2190504;Meer Uitgebreid Lager Onderwijs
Q12481017;Datuk Djamin;Q7428928;Hollandsch-Inlandsche School
Q12481017;Datuk Djamin;Q58667835;Kweekschool Fort de Kock
Q96988377;Dave Akbarshah Fikarno;Q534515;Universitas Indonesia
Q96988377;Dave Akbarshah Fikarno;Q1026939;California State University, Northridge
Q12481041;David Chalik;Q4250926;Universitas Trisakti
Q12481041;David Chalik;Q12510564;SMA Negeri 3 Jakarta
Q12481041;David Chalik;Q12523423;Universitas Paramadina
Q12481041;David Chalik;Q97223044;Universitas PTIQ Jakarta
Q109434348;Deddy Amrullah;Q12523429;"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta"
Q115491430;Dede Bafaqih;Q19744761;Universitas Bung Hatta
Q96988018;Dede Indra Permana;Q4200627;Universitas Diponegoro
Q5249748;Dede Yusuf;Q3181122;Universitas Padjadjaran
Q5249748;Dede Yusuf;Q4250926;Universitas Trisakti
Q5249748;Dede Yusuf;Q12510656;SMA Negeri 6 Jakarta
Q5249748;Dede Yusuf;Q12523390;Universitas Muhammadiyah Jakarta
Q5249748;Dede Yusuf;Q97596489;SMP Budi Waluyo Jakarta
Q25466623;Dedi Sjahrir Panigoro;Q1579397;Institut Teknologi Bandung
Q123219186;Dedi Wahidi;Q12523470;Universitas Swadaya Gunung Jati
Q97216276;Dedie A. Rachim;Q1579397;Institut Teknologi Bandung
Q97590713;Deding Ishak;Q12510939;SMP Negeri 13 Bandung
Q97590713;Deding Ishak;Q13098212;Universitas Islam Negeri Sunan Gunung Djati Bandung
Q12481143;Dedy Djamaluddin Malik;Q3181122;Universitas Padjadjaran
Q18421425;Delia Pratiwi Sitepu;Q12523291;Universitas Al Azhar Medan
Q18421425;Delia Pratiwi Sitepu;Q19744816;Universitas Muhammadiyah Sumatera Utara
Q5253899;Deliar Noer;Q49115;Universitas Cornell
Q5253899;Deliar Noer;Q2190504;Meer Uitgebreid Lager Onderwijs
Q5253899;Deliar Noer;Q7428928;Hollandsch-Inlandsche School
Q5253899;Deliar Noer;Q7894418;Universitas Nasional
Q109450544;Dellia Wihelmina;Q12510700;SMA Negeri 8 Bandung
Q96988733;Delmeria Sikumbang;Q16182620;Universitas Islam Negeri Imam Bonjol
Q92477336;Demas Paulus Mandacan;Q1145992;Universitas Gadjah Mada
Q120221481;Deni Wicaksono;Q1494353;Universitas Airlangga
Q12481262;Denny Indrayana;Q1145992;Universitas Gadjah Mada
Q16174247;Denny Wahyudi;Q12712165;Universitas Negeri Jakarta
Q97237769;Denty Eka Widi Pratiwi;Q4200627;Universitas Diponegoro
Q108889220;Dermawati Harefa;Q7894412;Universitas Kristen Indonesia
Q19725321;Desi Albert Mamahit;Q12471192;Akademi Angkatan Laut
Q17410478;Desmond Junaidi Mahesa;Q1896627;Universitas Lambung Mangkurat
Q25463297;Desra Ediwan Anantanur;Q12712165;Universitas Negeri Jakarta
Q25463297;Desra Ediwan Anantanur;Q109912135;Sekolah Tinggi Ilmu Ekonomi KBP
Q85990660;Destry Damayanti;Q49115;Universitas Cornell
Q85990660;Destry Damayanti;Q534515;Universitas Indonesia
Q4264877;Desy Ratnasari;Q534515;Universitas Indonesia
Q4264877;Desy Ratnasari;Q2308020;Universitas Katolik Indonesia Atma Jaya
Q109437801;Devi Suhartoni;Q598841;Universitas Monash
Q5268013;Dewa Beratha;Q1145992;Universitas Gadjah Mada
Q56399768;Dewanti Rumpoko;Q12523284;Universitas 17 Agustus 1945 Surabaya
Q56399768;Dewanti Rumpoko;Q12712165;Universitas Negeri Jakarta
Q17410481;Dewi Aryani Hilman;Q1494353;Universitas Airlangga
Q123337918;Dewi Asmara;Q534515;Universitas Indonesia
Q123337918;Dewi Asmara;Q3181122;Universitas Padjadjaran
Q123337918;Dewi Asmara;Q20448866;SMA Negeri 9 Jakarta
Q96989465;Dewi Coryati;Q534515;Universitas Indonesia
Q96989465;Dewi Coryati;Q2306715;Institut Pertanian Bogor
Q97496510;Diah Pitaloka;Q2983676;St Pius X College
Q97496510;Diah Pitaloka;Q3181122;Universitas Padjadjaran
Q97496510;Diah Pitaloka;Q7308519;Sekolah Regina Pacis
Q97496510;Diah Pitaloka;Q14091635;Universitas Katolik Parahyangan
Q17410733;Dian Mirza;Q534515;Universitas Indonesia
Q17410733;Dian Mirza;Q866012;Universitas Queensland
Q98080793;Dian Sandi Utama;Q7895720;Universitas Mataram
Q16174665;Dicky Wainal Usman;Q10862512;Akademi Militer
Q97239536;Dico Ganinduto;Q1848657;University of Tulsa
Q109434213;Didik Gatot Subroto;Q47927;Universitas Muhammadiyah Malang
Q17410978;Didik J. Rachbini;Q2306715;Institut Pertanian Bogor
Q65204331;Dini Purwono;Q534515;Universitas Indonesia
Q96987326;Dipo Nusantara Pua Upa;Q7896370;Universitas Surabaya
Q3032168;Dita Indah Sari;Q534515;Universitas Indonesia
Q65208154;Dito Ariotedjo;Q534515;Universitas Indonesia
Q17410493;Dito Ganinduto;Q2983676;St Pius X College
Q26836431;Djafar Lapasere;Q7428928;Hollandsch-Inlandsche School
Q26836431;Djafar Lapasere;Q12501424;Opleiding School Voor Inlandsche Ambtenaren
Q17410414;Djamal Aziz;Q12523302;Universitas Bhayangkara
Q5285224;Djan Faridz;Q7686915;Universitas Tarumanagara
Q19745886;Djarot Saiful Hidayat;Q1145992;Universitas Gadjah Mada
Q97590606;Djenri Alting Keintjem;Q7408055;Universitas Sam Ratulangi
Q2670453;Djoeanda Kartawidjaja;Q1579397;Institut Teknologi Bandung
Q11196055;Djohan Effendi;Q12523348;Universitas Islam Negeri Sunan Kalijaga Yogyakarta
Q12481747;Djohan Sjahroezah;Q19752649;Rechtshoogeschool te Batavia
Q19725424;Djohan Sjamsu;Q7895720;Universitas Mataram
Q5285364;Djohar Arifin Husin;Q4200341;Universitas Sumatera Utara
Q16175030;Djoko Udjianto;Q1145992;Universitas Gadjah Mada
Q16175030;Djoko Udjianto;Q12523307;Universitas Borobudur
Q97590856;Djoni Rolindrawan;Q890928;Newport University
Q97590856;Djoni Rolindrawan;Q1336952;Universitas Brawijaya
Q97590856;Djoni Rolindrawan;Q12510486;SMA Negeri 2 Bogor
Q97590856;Djoni Rolindrawan;Q12523454;Universitas Satya Negara Indonesia
Q97590856;Djoni Rolindrawan;Q19745903;Sekolah Tinggi Ilmu Pelayaran Jakarta
Q97590856;Djoni Rolindrawan;Q97941611;Jakarta Merchant Marine Institute
Q12481755;Djufri;Q12510277;SMA Negeri 1 Bukittinggi
Q12481755;Djufri;Q97570581;Institut Ilmu Pemerintahan Jakarta
Q12481755;Djufri;Q123774213;SMP Negeri 1 Bukittinggi
Q16175079;Djuwarto;Q1145992;Universitas Gadjah Mada
Q11200778;Doadibadai Hollo;Q4250926;Universitas Trisakti
Q25468888;Dodi Reza Alex Noerdin;Q574606;Université libre de Bruxelles
Q96988006;Dolfie O.F.P.;Q1579397;Institut Teknologi Bandung
Q105764924;Dolly Putra Parlindungan Pasaribu;Q4200341;Universitas Sumatera Utara
Q12481846;Domingos MD Soares;Q1494353;Universitas Airlangga
Q12481863;Don Murdono;Q4200627;Universitas Diponegoro
Q85990777;Donar Philip Rompas;Q12471192;Akademi Angkatan Laut
Q137194617;Doni Ismanto Darwin;Q951305;Universitas Cape Town
Q137194617;Doni Ismanto Darwin;Q4250926;Universitas Trisakti
Q137194617;Doni Ismanto Darwin;Q6514349;Lee Kuan Yew School of Public Policy
Q17306400;Donny Imam Priambodo;Q12510497;SMA Negeri 2 Kediri
Q17306400;Donny Imam Priambodo;Q12513120;Sekolah Tinggi Teknik Surabaya
Q17306400;Donny Imam Priambodo;Q97572685;STIE ABI Surabaya
Q61367471;Dony Ahmad Munir;Q3181122;Universitas Padjadjaran
Q61367471;Dony Ahmad Munir;Q12510430;SMA Negeri 1 Sumedang
Q61367471;Dony Ahmad Munir;Q97591568;Sekolah Tinggi Teknologi Garut
Q96987989;Dony Maryadi Oekon;Q4250926;Universitas Trisakti
Q5298156;Dorodjatun Kuntjoro-Jakti;Q168756;Universitas California, Berkeley
Q5298156;Dorodjatun Kuntjoro-Jakti;Q534515;Universitas Indonesia
Q49251389;Dosmar Banjarnahor;Q3181122;Universitas Padjadjaran
Q18421389;Dossy Iskandar;Q1336952;Universitas Brawijaya
Q18421389;Dossy Iskandar;Q1494353;Universitas Airlangga
Q18421389;Dossy Iskandar;Q74546091;UNAIR
Q16175234;Drajad Wibowo;Q2306715;Institut Pertanian Bogor
Q96986924;Drs. Fathan;Q64870303;MIS Mi Miftahul Falah Barak Bokong
Q96986931;Drs. H. Taufiq R. Abdullah;Q12486124;Universitas Islam Negeri UIN Sunan Ampel Surabaya
Q12482134;Dunidja;Q10862512;Akademi Militer
Q107563597;Duski Samad;Q12522857;Tweede Inlandsche School
Q97590780;Dwi Astuti Wulandari;Q1145497;Universitas Curtin
Q97590780;Dwi Astuti Wulandari;Q64575367;SMP Negeri 206 Jakarta
Q56399273;Dwi Ria Latifa;Q1145992;Universitas Gadjah Mada
Q56399273;Dwi Ria Latifa;Q19749142;Universitas Pancasila
Q101244735;Dwi Septiawati;Q12712165;Universitas Negeri Jakarta
Q97590707;Dwie Aroem Hadiatie;Q19741356;Institut Komunikasi dan Bisnis LSPR
Q109564126;Dwita Ria Gunadi;Q6482697;Universitas Lampung
Q96988678;Dyah Roro Esti;Q230899;Universitas Manchester
Q13092889;E.E. Mangindaan;Q7894421;Universitas Terbuka
Q13092889;E.E. Mangindaan;Q10862512;Akademi Militer
Q138781365;Eddi Budianto;Q10862512;Akademi Militer
Q97204470;Eddy Raya Samsuri;Q12486657;Institut Teknologi Indonesia
Q12482274;Eddy Santana Putra;Q4200297;Universitas Sriwijaya
Q12482274;Eddy Santana Putra;Q57947176;SMA Xaverius 1 Palembang
Q25460903;Eddy Suparno;Q534515;Universitas Indonesia
Q7806029;Edhie Baskoro Yudhoyono;Q721064;Universitas Teknologi Nanyang
Q7806029;Edhie Baskoro Yudhoyono;Q1145497;Universitas Curtin
Q7806029;Edhie Baskoro Yudhoyono;Q12510550;SMA Negeri 39 Jakarta
Q7806029;Edhie Baskoro Yudhoyono;Q12708504;SMP Negeri 20 Jakarta
Q72086432;Edhy Prabowo;Q600107;Universitas Swiss German
Q72086432;Edhy Prabowo;Q12523440;Universitas Prof. Dr. Moestopo
Q25466054;Edi Darnadi;Q17997867;Akademi Kepolisian
Q25462083;Edi Purwanto;Q31173528;UIN Sulthan Thaha Saifuddin
Q49255801;Edi Rusdi Kamtono;Q7683446;Universitas Tanjungpura
Q1284477;Edi Sudradjat;Q10862512;Akademi Militer
Q97590741;Edison Betaubun;Q534515;Universitas Indonesia
Q97590741;Edison Betaubun;Q7896071;Universitas Pattimura
Q109431101;Edistasius Endi;Q97307370;Universitas Katolik Widya Karya
Q25462893;Editiawarman;Q280361;Universitas Andalas
Q12482291;Edward Aritonang;Q17997867;Akademi Kepolisian
Q49251727;Edy Nasution;Q10862512;Akademi Militer
Q96987999;Edy Wuryanto;Q12523402;Universitas Muhammadiyah Semarang
Q12482308;Effendi Muara Sakti Simbolon;Q3181122;Universitas Padjadjaran
Q12482308;Effendi Muara Sakti Simbolon;Q12511174;SMP Negeri 41 Jakarta
Q12482308;Effendi Muara Sakti Simbolon;Q12523355;Universitas Jayabaya
Q16175676;Effendy Choirie;Q3181122;Universitas Padjadjaran
Q65213999;Effendy Sianipar;Q12486653;Institut Sains dan Teknologi Nasional
Q65213999;Effendy Sianipar;Q12523313;Universitas Darma Agung
Q138502066;Efrianda;Q12523390;Universitas Muhammadiyah Jakarta
Q12482331;Eka Santosa;Q3181122;Universitas Padjadjaran
Q97590714;Eka Sastra;Q478044;Universitas Hasanuddin
Q107488620;Eka Supria Atmaja;Q12523307;Universitas Borobudur
Q132131054;Eka Widodo;Q1145992;Universitas Gadjah Mada
Q12482340;Eki Syachrudin;Q534515;Universitas Indonesia
Q11185376;Eko Patrio;Q12486647;Institut Ilmu Sosial dan Ilmu Politik Jakarta
Q109443472;Ekos Albar;Q12523307;Universitas Borobudur
Q109443472;Ekos Albar;Q12712165;Universitas Negeri Jakarta
Q109443472;Ekos Albar;Q119465722;Universitas Koperasi Indonesia
Q109564144;Ela Siti Nuryamah;Q12523348;Universitas Islam Negeri Sunan Kalijaga Yogyakarta
Q109564144;Ela Siti Nuryamah;Q13098212;Universitas Islam Negeri Sunan Gunung Djati Bandung
Q107563913;Eliaser Yentji Sunur;Q12523366;Universitas Krisnadwipayana
Q28724259;Elnino M Husein Mohi;Q534515;Universitas Indonesia
Q28724259;Elnino M Husein Mohi;Q12510696;SMA Negeri 81 Jakarta
Q28724259;Elnino M Husein Mohi;Q15057698;Universitas Telkom
Q28724259;Elnino M Husein Mohi;Q65452073;SMP Negeri 6 Gorontalo
Q28724259;Elnino M Husein Mohi;Q107739279;SDN II Ayula Selatan
Q96987704;Elva Hartati;Q7894421;Universitas Terbuka
Q12482416;Elviana;Q2306715;Institut Pertanian Bogor
Q12482416;Elviana;Q7603634;Universitas Negeri Padang
Q96988693;Emanuel Melkiades Laka Lena;Q7415523;Universitas Sanata Dharma
Q21828089;Emil Dardak;Q734764;Universitas New South Wales
Q21828089;Emil Dardak;Q1133142;Ritsumeikan Asia Pacific University
Q98115336;Emilia Lun Hadaitullah;Q3213529;Universitas Pendidikan Indonesia
Q98115336;Emilia Lun Hadaitullah;Q7415523;Universitas Sanata Dharma
Q16176030;Emma Yohanna;Q12481560;Diniyyah Puteri Padang Panjang
Q16176030;Emma Yohanna;Q109921406;IAIN Imam Bonjol Padang
Q17410515;Emzalmi;Q280361;Universitas Andalas
Q17410515;Emzalmi;Q1579397;Institut Teknologi Bandung
Q17410515;Emzalmi;Q19744761;Universitas Bung Hatta
Q131354540;Endah Subekti Kuntariningsih;Q4200627;Universitas Diponegoro
Q131354540;Endah Subekti Kuntariningsih;Q12511308;Sekolah Tinggi Ilmu Ekonomi Yayasan Keluarga Pahlawan Negara
Q131354540;Endah Subekti Kuntariningsih;Q19752732;Sekolah Tinggi Ilmu Manajemen Yayasan Keluarga Pahlawan Negara
Q123303696;Endang Maria Astuti;Q12523466;Universitas Slamet Riyadi
Q123303696;Endang Maria Astuti;Q97581736;Institut Islam Mamba'ul 'Ulum Surakarta
Q469616;Endang Rahayu Sedyaningsih;Q13371;Universitas Harvard
Q469616;Endang Rahayu Sedyaningsih;Q534515;Universitas Indonesia
Q469616;Endang Rahayu Sedyaningsih;Q5676556;Harvard T.H. Chan School of Public Health
Q96987536;Endang Setyawati Thohari Dess;Q4200627;Universitas Diponegoro
Q135550854;Endang Sri Sumiyartini;Q7894421;Universitas Terbuka
Q123219206;Endro Hermono;Q2306715;Institut Pertanian Bogor
Q109564140;Endro Suswantoro Yahman;Q1145992;Universitas Gadjah Mada
Q19943079;Enggartiasto Lukita;Q534515;Universitas Indonesia
Q56872154;Eni Maulani Saragih;Q4250926;Universitas Trisakti
Q56872154;Eni Maulani Saragih;Q12707341;SMA Negeri 70 Jakarta
Q56872154;Eni Maulani Saragih;Q12712165;Universitas Negeri Jakarta
Q56872154;Eni Maulani Saragih;Q28725046;Universitas Putra Bangsa Kebumen
Q49253917;Enny Anggraeny Anwar;Q7308519;Sekolah Regina Pacis
Q12482544;Epyardi Asda;Q12506014;Politeknik Ilmu Pelayaran Semarang
Q12482544;Epyardi Asda;Q12510322;SMA Negeri 1 Solok
Q12482544;Epyardi Asda;Q19745903;Sekolah Tinggi Ilmu Pelayaran Jakarta
Q104417591;Eri Cahyadi;Q7452397;Institut Teknologi Sepuluh Nopember
Q5388188;Erick Thohir;Q1568237;National University
Q5388188;Erick Thohir;Q5568357;Glendale Community College
Q96987976;Eriko Sotarduga;Q4250926;Universitas Trisakti
Q65213524;Erli Hasim;Q12523382;Universitas Muhammadiyah Aceh
Q16176204;Erlim Contesa;Q280361;Universitas Andalas
Q25471309;Erlina;Q12523297;Universitas Bandar Lampung
Q97590794;Erma Suryani Ranik;Q7683446;Universitas Tanjungpura
Q20278395;Ermalena;Q19749142;Universitas Pancasila
Q11066107;Erman Soeparno;Q534515;Universitas Indonesia
Q12482565;Erna Witoelar;Q1579397;Institut Teknologi Bandung
Q12482567;Ernawan Natasaputra;Q12523326;Universitas Garut
Q5395350;Eros Djarot;Q54166;TH Köln – University of Applied Sciences
Q25468230;Erwin Arifin;Q3181122;Universitas Padjadjaran
Q97590575;Erwin Singajuru;Q350752;Universitas Islam Indonesia
Q97590575;Erwin Singajuru;Q4200297;Universitas Sriwijaya
Q97590575;Erwin Singajuru;Q12510547;SMA Negeri 2 Yogyakarta
Q97590575;Erwin Singajuru;Q12511198;SMP Negeri 5 Jakarta
Q25468911;Erzaldi Rosman Djohan;Q19751985;Institut Pemerintahan Dalam Negeri
Q108889846;Etty Purnamawati;Q534515;Universitas Indonesia
Q108889846;Etty Purnamawati;Q1055874;University of Bridgeport
Q108889846;Etty Purnamawati;Q1209685;Ibaraki University
Q108889846;Etty Purnamawati;Q12510188;SMA Negeri 11 Jakarta
Q109434207;Eva Dwiana;Q12523487;Universitas Wiraswasta Indonesia
Q108889238;Eva Gloria Sihite;Q2308020;Universitas Katolik Indonesia Atma Jaya
Q96988769;Eva Yuliana;Q11223593;Universitas Islam Negeri Walisongo
Q97590787;Evi Zainal Abidin;Q1145497;Universitas Curtin
Q97590787;Evi Zainal Abidin;Q19735187;SMA Negeri 2 Surabaya
Q97590787;Evi Zainal Abidin;Q25462661;SMP Negeri 12 Surabaya
Q16176436;Evita Nursanty;Q534515;Universitas Indonesia
Q16176436;Evita Nursanty;Q1145992;Universitas Gadjah Mada
Q16176436;Evita Nursanty;Q3181122;Universitas Padjadjaran
Q25467048;F. Saud Tambatua;Q12471192;Akademi Angkatan Laut
Q49251321;F.X. Soejitno;Q12471193;Akademi Angkatan Udara
Q20278412;Fachrori Umar;Q3181122;Universitas Padjadjaran
Q85991061;Fachrul Razi;Q534515;Universitas Indonesia
Q5429207;Fadel Muhammad;Q1145992;Universitas Gadjah Mada
Q5429207;Fadel Muhammad;Q1579397;Institut Teknologi Bandung
Q122346894;Fadhil Rahmi;Q173959;Universitas Al-Azhar
Q122346894;Fadhil Rahmi;Q30632611;Universitas Islam Negeri Ar-Raniry
Q122346894;Fadhil Rahmi;Q123444875;MAS Darularafah
Q122346894;Fadhil Rahmi;Q123768131;MIN 12 Bireuen
Q122346894;Fadhil Rahmi;Q125240694;MTs Darularafah
Q96988762;Fadholi;Q11223593;Universitas Islam Negeri Walisongo
Q12482697;Fadjroel Rachman;Q534515;Universitas Indonesia
Q12482697;Fadjroel Rachman;Q1579397;Institut Teknologi Bandung
Q12482698;Fadli Zon;Q174570;London School of Economics and Political Science
Q12482698;Fadli Zon;Q534515;Universitas Indonesia
Q12482698;Fadli Zon;Q5658432;Harlandale High School
Q61119100;Fadly Amran;Q615873;Universitas Seattle
Q31173047;Fadly Nurzal;Q12486122;Universitas Islam Negeri Sumatera Utara
Q12482713;Fahira Fahmi Idris;Q534515;Universitas Indonesia
Q12482713;Fahira Fahmi Idris;Q3181122;Universitas Padjadjaran
Q132307730;Fahmi Abdul Haq Zaini;Q1336952;Universitas Brawijaya
Q132307730;Fahmi Abdul Haq Zaini;Q12486124;Universitas Islam Negeri UIN Sunan Ampel Surabaya
Q132307730;Fahmi Abdul Haq Zaini;Q43398922;Universitas Nurul Jadid
Q109438090;Fahmi Fadli;Q14917503;Universitas Muhammadiyah Yogyakarta
Q16176642;Fahri Hamzah;Q534515;Universitas Indonesia
Q49250615;Faida;Q1494353;Universitas Airlangga
Q16176676;Faisal Andi Sapada;Q478044;Universitas Hasanuddin
Q5431049;Faisal Basri;Q29052;Universitas Vanderbilt
Q5431049;Faisal Basri;Q534515;Universitas Indonesia
Q96986949;Faisol Riza;Q12513061;Sekolah Tinggi Filsafat Driyarkara Jakarta
Q16176737;Fajrul Falaakh;Q1145992;Universitas Gadjah Mada
Q28724426;Fakhrizal;Q12510519;SMA Negeri 2 Padang
Q25466063;Faldo Maldini;Q189022;Imperial College London
Q25466063;Faldo Maldini;Q534515;Universitas Indonesia
Q109436658;Fandi Akhmad Yani;Q1494353;Universitas Airlangga
Q108893500;Fandi Utomo;Q7452397;Institut Teknologi Sepuluh Nopember
Q97590837;Fanny Safriansyah;Q12510564;SMA Negeri 3 Jakarta
Q97590837;Fanny Safriansyah;Q97570481;Universitas Tritunggal Surabaya
Q97590861;Farid Al Fauzi;Q1145992;Universitas Gadjah Mada
Q97590861;Farid Al Fauzi;Q7452397;Institut Teknologi Sepuluh Nopember
Q127272497;Farid Ma'ruf;Q173959;Universitas Al-Azhar
Q16176817;Farid Prawiranegara;Q534515;Universitas Indonesia
Q109427431;Farida Farichah;Q2306715;Institut Pertanian Bogor
Q109427431;Farida Farichah;Q7603641;Universitas Negeri Semarang
Q18421358;Farouk Muhammad;Q17997867;Akademi Kepolisian
Q97590768;Fary Djemy Francis;Q75639;Universitas Nasional Timor Lorosae
Q97590768;Fary Djemy Francis;Q2306715;Institut Pertanian Bogor
Q468519;Fatmawati;Q1579397;Institut Teknologi Bandung
Q97590842;Fatmawati Rusdi;Q12523355;Universitas Jayabaya
Q28723821;Fauzan Khalid;Q7895720;Universitas Mataram
Q96988744;Fauzi Amro;Q534515;Universitas Indonesia
Q96988744;Fauzi Amro;Q2306715;Institut Pertanian Bogor
Q96988744;Fauzi Amro;Q3181122;Universitas Padjadjaran
Q96988744;Fauzi Amro;Q123395567;SMK Pertanian Pembangunan Negeri Bengkulu
Q96988744;Fauzi Amro;Q123771366;SMP Negeri 7 Kota Bengkulu
Q96988744;Fauzi Amro;Q123809140;SD Negeri 1 Remban
Q12482828;Fauzi Bahar;Q534515;Universitas Indonesia
Q1392988;Fauzi Bowo;Q534515;Universitas Indonesia
Q1392988;Fauzi Bowo;Q1824905;Kolese Kanisius
Q12482832;Fayakhun Andriadi;Q534515;Universitas Indonesia
Q12482832;Fayakhun Andriadi;Q4200627;Universitas Diponegoro
Q12482832;Fayakhun Andriadi;Q7391099;SMA Negeri 82 Jakarta
Q12482832;Fayakhun Andriadi;Q56392794;SMP Negeri 11 Jakarta
Q96988387;Ferdiansyah;Q12523366;Universitas Krisnadwipayana
Q96988387;Ferdiansyah;Q12523435;Universitas Persada Indonesia YAI
Q16177148;Ferrial Sofyan;Q10862512;Akademi Militer
Q97590864;Ferry Kase;Q12523352;Universitas Islam Syekh Yusuf Tangerang
Q12482887;Ferry Mursyidan Baldan;Q3181122;Universitas Padjadjaran
Q56391300;Firdaus Wadjdi;Q534515;Universitas Indonesia
Q112896202;Firman Giawa;Q19744798;Universitas Katolik Santo Thomas
Q16177298;Firman Soebagyo;Q7894421;Universitas Terbuka
Q97590611;Firmandez;Q3958218;Universitas Syiah Kuala
Q112897183;Franky Donny Wongkar;Q7408055;Universitas Sam Ratulangi
Q97590850;Frans Agung Mula Putra;Q6482697;Universitas Lampung
Q10860370;Frans Lebu Raya;Q7896000;Universitas Nusa Cendana
Q4200601;Freddy Numberi;Q12471192;Akademi Angkatan Laut
Q12483133;Fuad Bawazier;Q503415;Universitas Maryland
Q12483133;Fuad Bawazier;Q736674;Universitas Colorado Boulder
Q12483133;Fuad Bawazier;Q1145992;Universitas Gadjah Mada
Q12483133;Fuad Bawazier;Q19734661;SMA Negeri 1 Cilacap
Q112896805;Fud Syaifuddin;Q12523315;Universitas Darul 'Ulum
Q97590599;G. Michael Jeno;Q1579397;Institut Teknologi Bandung
Q109435898;Gamal Haryo Putro;Q10862512;Akademi Militer
Q12483474;Ganjar Pranowo;Q1145992;Universitas Gadjah Mada
Q12483576;Gatot Amrih;Q534515;Universitas Indonesia
Q10859979;Gatot Pujo Nugroho;Q1579397;Institut Teknologi Bandung
Q96988673;Gatot Sudjito;Q12523484;Universitas Wijaya Putra
Q96988673;Gatot Sudjito;Q13098258;Universitas Jember
Q12483605;Gayus Lumbuun;Q534515;Universitas Indonesia
Q56398866;Gde Sumarjaya Linggih;Q12510207;SMA Negeri 13 Bandung
Q56398866;Gde Sumarjaya Linggih;Q12523345;Universitas Islam Nusantara
Q56398866;Gde Sumarjaya Linggih;Q62070209;SMPN 15 Bandung
Q123046540;Gembong Warsono;Q12523400;Universitas Muhammadiyah Prof Dr Hamka
Q18342893;Gibran Rakabuming Raka;Q6746666;Management Development Institute of Singapore
Q18342893;Gibran Rakabuming Raka;Q7100286;Sekolah Menengah Orchid Park
Q96987996;Gilang Dhiela Fararez;Q4250926;Universitas Trisakti
Q5562954;Ginandjar Kartasasmita;Q1301275;Universitas Pertanian dan Teknologi Tokyo
Q5562954;Ginandjar Kartasasmita;Q1579397;Institut Teknologi Bandung
Q5562954;Ginandjar Kartasasmita;Q1824905;Kolese Kanisius
Q97208587;Ginda Burnama;Q4250926;Universitas Trisakti
Q97208587;Ginda Burnama;Q7322177;Universitas Riau
Q56399362;Giri Ramanda N Kiemas;Q534515;Universitas Indonesia
Q5564287;Giring Ganesha;Q7894421;Universitas Terbuka
Q5564287;Giring Ganesha;Q12523423;Universitas Paramadina
