kode_politikus;politikus;kode_pendidikan;pendidikan
Q4682572;Adhyaksa Dault;Q2306715;Institut Pertanian Bogor
Q4682572;Adhyaksa Dault;Q4250926;Universitas Trisakti
Q101089316;Adi Darma;Q6933777;Universitas Mulawarman
Q17410348;Adi Gunawan;Q280361;Universitas Andalas
Q17410348;Adi Gunawan;Q12510277;SMA Negeri 1 Bukittinggi
Q17410348;Adi Gunawan;Q12523443;Universitas Putra Indonesia
Q109563755;Adi Sukemi;Q350752;Universitas Islam Indonesia
Q20426350;Adian Yunus Yusak Napitupulu;Q7894412;Universitas Kristen Indonesia
Q96988409;Adies Kadir;Q12523483;Universitas Wijaya Kusuma Surabaya
Q25466191;Adirozal;Q7603634;Universitas Negeri Padang
Q17410351;Adisatrya Suryo Sulisto;Q170027;Universitas London
Q17410351;Adisatrya Suryo Sulisto;Q7589481;St Lawrence College
Q97590738;Aditya Anugrah Moha;Q7408055;Universitas Sam Ratulangi
Q97590738;Aditya Anugrah Moha;Q28950058;Universitas Timbul Nusantara
Q104830804;Aditya Halindra Faridzky;Q7686944;SMA Taruna Nusantara
Q16163503;Aditya Mufti Ariffin;Q1896627;Universitas Lambung Mangkurat
Q16163503;Aditya Mufti Ariffin;Q12482738;Fakultas Hukum Universitas Lambung Mangkurat
Q49252248;Adiwarsita Adinegoro;Q534515;Universitas Indonesia
Q49252248;Adiwarsita Adinegoro;Q1824905;Kolese Kanisius
Q61119098;Adjeng Ratna Suminar;Q12523345;Universitas Islam Nusantara
Q109438122;Adlin Umar Yusri Tambunan;Q4200341;Universitas Sumatera Utara
Q65212430;Adnan Purichta Ichsan;Q478044;Universitas Hasanuddin
Q123523263;Adriana Charlotte Dondokambey;Q7408055;Universitas Sam Ratulangi
Q123523263;Adriana Charlotte Dondokambey;Q19734802;SMA Negeri 1 Manado
Q123523263;Adriana Charlotte Dondokambey;Q19740092;SMP Negeri 2 Manado
Q16163751;Adrin Kahar;Q1579397;Institut Teknologi Bandung
Q12470878;Afan Gaffar;Q1145992;Universitas Gadjah Mada
Q108889808;Afriansyah Noor;Q12486653;Institut Sains dan Teknologi Nasional
Q97590735;Agati Sulie Mahyudin;Q19734760;SMA Negeri 1 Kuala Kapuas
Q97590735;Agati Sulie Mahyudin;Q97621584;STIE Palangka Raya
Q97590735;Agati Sulie Mahyudin;Q97621591;SMP Negeri 2 Kapuas Kuala
Q123725984;Agita Nurfianti;Q3181122;Universitas Padjadjaran
Q16163953;Agoes Poernomo;Q1145992;Universitas Gadjah Mada
Q4694586;Agum Gumelar;Q4745400;American World University
Q123346501;Agun Gunandjar Sudarsa;Q534515;Universitas Indonesia
Q123346501;Agun Gunandjar Sudarsa;Q97572810;Politeknik STIA LAN Bandung
