politikus;kode_politikus
Abdul Azis;Q123878922
Abdul Azis;Q123876634
Abdul Azis;Q123885127
Abdul Azis;Q123885376
Abdul Azis;Q123893546
Abdul Azis Kerubun;Q123895352
Abdul Azis Kilkoda;Q123896409
Abdul Azis Muslim;Q123877639
Abdul Azis Namu;Q123892086
Abdul Azis Pangeran;Q123892671
Abdul Aziz;Q123712989
Abdul Aziz;Q123714958
Abdul Aziz;Q123726028
Abdul Aziz;Q123875015
Abdul Aziz;Q123873511
Abdul Aziz;Q123877858
Abdul Aziz;Q123879875
Abdul Aziz;Q123881757
Abdul Aziz;Q123882076
Abdul Aziz La Ode;Q123717198
Abdul Bais;Q123711560
Abdul Bar As'ad;Q123873429
Abdul Bari;Q123878217
Abdul Canter Sangaji;Q123876951
Abdul Choliq Rosjidi;Q123713454
Abdul Fakah;Q123885355
Abdul Fikri;Q123879837
Abdul Fikri Yanto;Q123873788
Abdul Fitroh Ridho;Q123898265
Abdul Gafur Ritonga;Q123714865
Abdul Gani Ge'e;Q123870199
Abdul Gani Rahawarin;Q123897246
Abdul Gani Renleeuw;Q123895429
Abdul Gani Rumakat;Q123897556
Abdul Gani Sangadji;Q123896248
Abdul Ganing;Q123717063
Abdul Ghofar Ismail;Q123880799
Abdul Ghofir;Q123876448
Abdul Ghoni;Q123713675
Abdul Ghoni;Q123883931
Abdul Giaz;Q123889025
Abdul Gofar;Q123868036
Abdul Gopur;Q123712375
Abdul Gopur;Q123877711
Abdul Hadi;Q123715559
Abdul Hadi;Q123877243
Abdul Hadi;Q123886920
Abdul Hadi;Q123888120
Abdul Hadi;Q123887325
Abdul Hadi Bang Joni;Q123726281
Abdul Hadi Jamal;Q123893544
Abdul Hady;Q123893385
Abdul Hafid;Q123883361
Abdul Hafid;Q123887843
Abdul Hafid;Q123892107
Abdul Hafid Baso;Q123716008
Abdul Hafiz;Q123882117
Abdul Hakam;Q123713983
Abdul Hakam Husaam;Q123876079
Abdul Hakim;Q123884327
Abdul Hakim;Q123894445
Abdul Hakim Hidayat;Q123713890
Abdul Hakim Mufid;Q123877721
Abdul Halik;Q123893208
Abdul Halik Moka;Q123886432
Abdul Halil Hatala;Q123894926
Abdul Halim;Q123699688
Abdul Halim;Q123876165
Abdul Halim;Q123884501
Abdul Halim;Q123894414
Abdul Halim Tuhuteru;Q123895183
Abdul Hamid;Q123725918
Abdul Hamid;Q123867247
Abdul Hamid;Q123872876
Abdul Hamid;Q123872969
Abdul Hamid;Q123881985
Abdul Hamid;Q123883290
Abdul Hamid Ali;Q123885305
Abdul Hamid Arief;Q123897119
Abdul Hamid Mahfudz;Q123883219
Abdul Hamid S;Q123893501
Abdul Hanan;Q123885643
Abdul Hanan;Q123884850
Abdul Hanan Majdy;Q123713505
Abdul Hanib;Q123890050
Abdul Hanif;Q123891177
Abdul Hapid;Q123711310
Abdul Haris;Q123875107
Abdul Haris;Q123892933
Abdul Haris A. Engahu;Q123893959
Abdul Haris Isa;Q123893752
Abdul Haris Lasimpara;Q123891204
Abdul Haris Mahmudi;Q123882802
Abdul Haris Olii Abdul Kadir;Q123891357
Abdul Haris Sopiandi;Q123884946
Abdul Haris Suhartony;Q123883141
Abdul Haris Tuanku Sati;Q123871205
Abdul Haris Werfete;Q123897604
Abdul Harits;Q123886875
Abdul Hasan Syafii;Q123890411
Abdul Hatab;Q123885180
Abdul Hidayat;Q123879403
Abdul Holil;Q123883100
Abdul Jabbar;Q123869499
Abdul Jalil;Q123726179
Abdul Jalil;Q123872996
Abdul Jalil;Q123875623
Abdul Jalil Pawara;Q123889940
Abdul Jalil Ritonga;Q123869580
Abdul Jamil;Q123882190
Abdul Jawad;Q123726332
Abdul Kadir;Q123716202
Abdul Kadir;Q123872002
Abdul Kadir;Q123874155
Abdul Kadir;Q123891905
Abdul Kadir Husain Daing Hussin;Q123711559
Abdul Kadir Jailani;Q123884454
Abdul Kadir Jailani;Q123892253
Abdul Kahar Muslim;Q123892380
Abdul Kaher;Q123873079
Abdul Kahfi;Q123715595
Abdul Karim;Q123872590
Abdul Karim;Q123878350
Abdul Karim;Q123884662
Abdul Karim;Q123898582
Abdul Karim Aljufri;Q123891703
Abdul Karim Anggiluli;Q123717007
Abdul Karim Gito;Q123865796
Abdul Karim Kaliky;Q123895294
Abdul Karim Nashir Amrullah;Q123712727
Abdul Karim Rahanar;Q123714261
Abdul Karim Wasaraka;Q123717177
Abdul Kasim;Q123871968
Abdul Kelilauw;Q123895236
Abdul Khair;Q123870602
Abdul Khalid;Q123882865
Abdul Kharis Ma'mun;Q123726082
Abdul Khayir;Q123885395
Abdul Kholik;Q123867905
Abdul Kholik;Q123872687
Abdul Kholik;Q123874947
Abdul Kholis;Q123877782
Abdul Latif;Q123890057
Abdul Latif Somad;Q123875234
Abdul Majid;Q123872621
Abdul Majid;Q123871722
Abdul Malik;Q123868236
Abdul Malik;Q123867429
Abdul Malik;Q123874265
Abdul Malik Ditu;Q123893260
Abdul Malik Jaelani;Q123885074
Abdul Malik Maulana;Q123881872
Abdul Malik Mokodompit;Q123890682
Abdul Malik Rumalutur;Q123897955
Abdul Malik Sillia;Q123896224
Abdul Maliq;Q123875875
Abdul Maman Sukatma;Q123879228
Abdul Manaf Muhammad;Q123895846
Abdul Manan Nasution;Q123714736
Abdul Merry;Q123888814
Abdul Mu'is;Q123879966
Abdul Muaz Abdullah;Q123894428
Abdul Muhith Murtadlo;Q123876336
Abdul Muhshi;Q123888606
Abdul Muid Fabanyo;Q123896502
Abdul Muin;Q123876238
Abdul Muin Djalaluddin;Q123892711
Abdul Muin Pulungan;Q123714837
Abdul Muin Sakali;Q123893834
Abdul Muis;Q123715576
Abdul Muis;Q123894538
Abdul Muis Syam;Q123893809
Abdul Muiz;Q123711305
Abdul Mujib Pasdak;Q123711209
Abdul Mukti;Q123875844
Abdul Munajat;Q123892983
Abdul Munasib;Q123710646
Abdul Munsir Zainuddin;Q123889622
Abdul Mupid;Q123876736
Abdul Murat;Q123890016
Abdul Mutalib;Q123873063
Abdul Mutalib Wakan;Q123895207
Abdul Muthalib Kaisupy;Q123895276
Abdul Napitu;Q123890320
Abdul Natsir;Q123879735
Abdul Oir;Q123878604
Abdul Qodir;Q123877843
Abdul Qodir;Q123879880
Abdul Rachmat Noer;Q123716433
Abdul Rahim;Q123714461
Abdul Rahim;Q123716352
Abdul Rahim;Q123870870
Abdul Rahim;Q123885141
Abdul Rahim;Q123893432
Abdul Rahim;Q123894513
Abdul Rahim;Q123892112
Abdul Rahim G.;Q123896602
Abdul Rahim Letsoin;Q123895391
Abdul Rahim Patamasya;Q123897505
Abdul Rahim Siregar;Q123870075
Abdul Rahman;Q123712306
Abdul Rahman;Q123715855
Abdul Rahman;Q123872620
Abdul Rahman;Q123872949
Abdul Rahman;Q123872963
Abdul Rahman;Q123870371
Abdul Rahman;Q123875695
Abdul Rahman;Q123875944
Abdul Rahman;Q123885292
Abdul Rahman;Q123886519
Abdul Rahman;Q123883585
Abdul Rahman;Q123890070
Abdul Rahman;Q123890110
Abdul Rahman;Q123889705
Abdul Rahman;Q123892272
Abdul Rahman;Q123894530
Abdul Rahman;Q123891733
Abdul Rahman;Q123891782
Abdul Rahman Agus;Q123889625
Abdul Rahman Atan;Q123871940
Abdul Rahman Hasan;Q123890548
Abdul Rahman Made;Q123716724
Abdul Rahman N;Q123716443
Abdul Rahman Sulistiyo;Q123869828
Abdul Rajak Hak;Q123710599
Abdul Rakhman Bolong;Q123889445
Abdul Rasak;Q123893114
Abdul Rasyid;Q123713689
Abdul Rasyid;Q123870709
Abdul Rasyid;Q123887752
Abdul Rasyid;Q123886873
Abdul Rasyid Baharuddin;Q123875855
Abdul Rasyid Saliman;Q123875205
Abdul Rasyid Samberbory;Q123896763
Abdul Rasyid Syawal;Q123725997
Abdul Rasyid Zaenal;Q123884759
Abdul Rauf;Q123710181
Abdul Rauf;Q123885447
Abdul Rauf;Q123890415
Abdul Rauf Dewang;Q123892943
Abdul Rauf Rahim;Q123892895
Abdul Razak;Q123888858
Abdul Ridwan Yazid;Q123712194
Abdul Rihan;Q123867177
Abdul Rochim;Q123713394
Abdul Rochim;Q123715182
Abdul Rochman;Q123714210
Abdul Rofik;Q123889041
Abdul Rohim;Q123713761
Abdul Rohim;Q123878710
Abdul Rohman;Q123867661
Abdul Rohman;Q123879321
Abdul Rokhim;Q123714420
Abdul Rouf;Q123880335
Abdul Rozak;Q123872416
Abdul Salam;Q123877580
Abdul Salam Sahadia;Q123893321
Abdul Salam Tuanku Bungsu;Q123870932
Abdul Salim;Q123877834
Abdul Samad;Q123889807
Abdul Samad Lukman;Q123886401
Abdul Sani;Q123888983
Abdul Sani Simin;Q123716928
Abdul Shobur;Q123715358
Abdul Sigit;Q123893690
Abdul Syukur;Q123887908
Abdul Syukur;Q122211227
Abdul Syukur M. Dapubeang;Q123885679
Abdul Talib Mustafa;Q123716369
Abdul Wachid Muin;Q123884322
Abdul Wadud;Q123868027
Abdul Wahab;Q123884120
Abdul Wahab A. Hida;Q123894041
Abdul Wahab Hudodo;Q123890764
Abdul Wahab Suneth;Q123716893
Abdul Wahid;Q123884899
Abdul Wahid Azar;Q123714318
Abdul Wahid Ibrahim;Q123890438
Abdul Wazid;Q123885019
Abdulah Aminudin;Q123880271
Abdulah Faizin;Q123884351
Abdulah Tuankotta;Q123895198
Abdull Azis Deny Latif;Q123894172
Abdullah;Q123866246
Abdullah;Q123866306
Abdullah;Q123872104
Abdullah;Q123885397
Abdullah;Q123882773
Abdullah A. Hanubun;Q123895374
Abdullah Aa;Q123880763
Abdullah Abbas;Q123867008
Abdullah Apa;Q123886437
Abdullah Asis Sangkala;Q123895121
Abdullah Awing;Q123716456
Abdullah Djafar Abbas;Q123896118
Abdullah Fadri Auli;Q123874888
Abdullah Hanafiah;Q123865910
Abdullah Hasanuddin;Q123891752
Abdullah Hatari;Q123895962
Abdullah Lasadja;Q123897606
Abdullah Lou;Q123716073
Abdullah Marasabessy;Q123895219
Abdullah Mas'ud Al Akhyari;Q123714058
Abdullah Muhdi;Q123884206
Abdullah Muis Ely;Q123895217
Abdullah Nagaring;Q123893784
Abdullah Nasution;Q123869718
Abdullah P. Ulumando;Q123716140
Abdullah Rahman;Q123891367
Abdullah Said;Q123883515
Abdullah Said;Q123893951
Abdullah Samsudin Tajudin;Q123897754
Abdullah Sura Jaya;Q123874965
Abdullah Tansa;Q123891413
Abdullah Taufik;Q123873089
Abdullah Uwais Alatas;Q123710661
Abdullah Yazid;Q123713904
Abdulloh;Q123889200
Abdulloh Hadi Sasmito;Q123714134
Abdulrahman;Q123886053
Abdur Rasidin;Q123866778
Abdur Razaq;Q123886995
Abdur Rohim Arif;Q123879107
Abdur Rohman;Q123883528
Abdur Rokhman Said;Q123714130
Abdurachman;Q123887127
Abdurahman;Q123868061
Abdurahman;Q123888090
Abdurahman Antu;Q123893742
Abdurahman Ka.;Q123889316
Abdurahman Rahmola;Q123894275
Abdurahmat Monoarfa;Q123894267
Abdurakhman;Q123883368
Abdurasid Wokanubun;Q123894862
Abdurauf Pelu;Q123895117
Abdurohman;Q123868466
Abdurrachim Santosa;Q123878173
Abdurrachman;Q123699716
