politikus;kode_politikus;partai;kode_partai
Abah Qomar;Q123711713;Partai Amanat Nasional;Q2434365
Abah Ruskawan;Q123878357;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abamedika;Q123894392;Partai Persatuan Indonesia;Q19752495
Abang Hepi Tilanda;Q123710443;Partai Demokrat (Indonesia);Q1186227
Abang Muhammad Nasir;Q123710516;Partai Persatuan Pembangunan;Q2669302
Abang Sjachroel Arifin;Q123875198;Partai Persatuan Indonesia;Q19752495
Abang Supirman;Q123887331;Partai Ummat;Q106255756
Abas Hadi Mulyana;Q123879119;Partai Demokrat (Indonesia);Q1186227
Abas Kobasah;Q123878537;Partai Persatuan Pembangunan;Q2669302
Abas Lesnussa;Q123894989;Partai Gerakan Indonesia Raya;Q4261459
Abas Rosadi;Q123716265;Partai Ummat;Q106255756
Abas Rusli;Q123891805;Partai Bulan Bintang;Q2915024
Abbas;Q123716678;Partai Kebangkitan Bangsa;Q1257317
Abbas;Q123878396;Partai Garda Republik Indonesia;Q123553440
Abbas Achmad;Q123890444;Partai Amanat Nasional;Q2434365
Abbas Patiroi;Q123889819;Partai Persatuan Pembangunan;Q2669302
Abbas Said;Q123709762;Partai Kebangkitan Nusantara;Q115754699
Abbas Wahid;Q123894516;Partai NasDem;Q4207219
Abd Azis;Q123883215;Partai Kebangkitan Bangsa;Q1257317
Abd Azis Kulla;Q123894796;Partai Hati Nurani Rakyat;Q4262041
Abd Aziz Harun;Q123893721;Partai Persatuan Pembangunan;Q2669302
Abd Gani Latuconsina;Q123895187;Partai Solidaritas Indonesia;Q23744654
Abd Hadi Abidin;Q123866311;Partai Golongan Karya;Q1536552
Abd Haer;Q123894750;Partai Persatuan Pembangunan;Q2669302
Abd Hakim;Q123891995;Partai Ummat;Q106255756
Abd Haris;Q123892555;Partai Gelombang Rakyat Indonesia;Q97016042
Abd Haris;Q123892257;Partai NasDem;Q4207219
Abd Haris N Baginda;Q123716322;Partai Amanat Nasional;Q2434365
Abd Kadir;Q123894715;Partai Kebangkitan Bangsa;Q1257317
Abd Kadir Mau;Q123886398;Partai Gelombang Rakyat Indonesia;Q97016042
Abd Kadir Raharusun;Q123895269;Partai Persatuan Indonesia;Q19752495
Abd Lathief Syukril Isnain;Q123894806;Partai Amanat Nasional;Q2434365
Abd Latip A;Q123894446;Partai Keadilan Sejahtera;Q1511101
Abd Maujud Mansyoer;Q123714304;Partai Garda Republik Indonesia;Q123553440
Abd Rahim;Q123893718;Partai Persatuan Pembangunan;Q2669302
Abd Rahim H Jangi;Q120838603;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abd Rahim Mas P Sanjata;Q123892001;Partai Kebangkitan Bangsa;Q1257317
Abd Rahman;Q123886863;Partai Buruh;Q4203001
Abd Rahman;Q123894817;Partai Persatuan Indonesia;Q19752495
Abd Rahman Yahya;Q123894521;Partai Gelombang Rakyat Indonesia;Q97016042
Abd Rasid Salim;Q123893999;Partai Bulan Bintang;Q2915024
Abd Razaq;Q123712285;Partai Persatuan Pembangunan;Q2669302
Abd Rokhim;Q123712616;Partai Gelombang Rakyat Indonesia;Q97016042
Abd. Afif Efendi;Q123882192;Partai Persatuan Pembangunan;Q2669302
Abd. Asis;Q123893521;Partai Gerakan Indonesia Raya;Q4261459
Abd. Azis;Q123883807;Partai Bulan Bintang;Q2915024
Abd. Azis;Q123883293;Partai Hati Nurani Rakyat;Q4262041
Abd. Aziz Barunda;Q123889924;Partai Kebangkitan Nusantara;Q115754699
Abd. Aziz Hentihu;Q123895052;Partai Persatuan Pembangunan;Q2669302
Abd. Aziz Muslim;Q123714183;Partai Kebangkitan Nusantara;Q115754699
Abd. Chair A. Mahmud;Q123891033;Partai NasDem;Q4207219
Abd. Gani;Q123716428;Partai Amanat Nasional;Q2434365
Abd. Halim;Q123710709;Partai Keadilan Sejahtera;Q1511101
Abd. Halim;Q123888492;Partai Ummat;Q106255756
Abd. Hamid Shoheh;Q123874665;Partai Ummat;Q106255756
Abd. Haris;Q123892058;Partai Amanat Nasional;Q2434365
Abd. Haris Mz;Q123883545;Partai Amanat Nasional;Q2434365
Abd. Jalil;Q123889643;Partai Kebangkitan Bangsa;Q1257317
Abd. Kadir Assegaff;Q123883380;Partai NasDem;Q4207219
Abd. Kadir Syah;Q123892481;Partai Bulan Bintang;Q2915024
Abd. Lathif Syafi'i;Q123883567;Partai Demokrat (Indonesia);Q1186227
Abd. Majid S.;Q123892193;Partai Bulan Bintang;Q2915024
Abd. Malik;Q123894546;Partai Bulan Bintang;Q2915024
Abd. Malik. B.;Q123894690;Partai Amanat Nasional;Q2434365
Abd. Manan;Q123891596;Partai Demokrat (Indonesia);Q1186227
Abd. Manan Podungge;Q123893895;Partai Amanat Nasional;Q2434365
Abd. Mannang;Q123716543;Partai Bulan Bintang;Q2915024
Abd. Muflih Simanullang;Q123870295;Partai Gelombang Rakyat Indonesia;Q97016042
Abd. Muin Hayat;Q123890497;Partai Kebangkitan Bangsa;Q1257317
Abd. Munib Untung;Q123893664;Partai NasDem;Q4207219
Abd. Munir Razak;Q123892958;Partai Hati Nurani Rakyat;Q4262041
Abd. Mutalib;Q123866115;Partai Gelombang Rakyat Indonesia;Q97016042
Abd. Muthalib;Q123865863;Partai Demokrat (Indonesia);Q1186227
Abd. Rachman;Q123713531;Partai Golongan Karya;Q1536552
Abd. Rahim Ode Yani;Q123895963;Partai NasDem;Q4207219
Abd. Rahman;Q123892533;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abd. Rahman;Q123891168;Partai Gelombang Rakyat Indonesia;Q97016042
Abd. Rahman;Q123894505;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abd. Rahman;Q123892141;Partai NasDem;Q4207219
Abd. Rahman;Q123892308;Partai Persatuan Indonesia;Q19752495
Abd. Rahman;Q123897085;Partai Solidaritas Indonesia;Q23744654
Abd. Rahman Drakel;Q123895607;Partai Buruh;Q4203001
Abd. Rahman Rahim;Q123893151;Partai Golongan Karya;Q1536552
Abd. Rasyid Kota Lima;Q123895308;Partai Keadilan Sejahtera;Q1511101
Abd. Rasyidin Pane;Q123870659;Partai Amanat Nasional;Q2434365
Abd. Razak;Q123891090;Partai Demokrat (Indonesia);Q1186227
Abd. Razaq;Q123868981;Partai Gelombang Rakyat Indonesia;Q97016042
Abd. Razaq;Q123869764;Partai Kebangkitan Bangsa;Q1257317
Abd. Salam;Q123891653;Partai Keadilan Sejahtera;Q1511101
Abd. Salam Dg. Bali;Q123892159;Partai Keadilan Sejahtera;Q1511101
Abd. Samad;Q123892536;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abd. Samad;Q123894779;Partai NasDem;Q4207219
Abd. Sami';Q123714419;Partai Ummat;Q106255756
Abd. Wahab Syahrani;Q123889057;Partai Keadilan Sejahtera;Q1511101
Abd. Wahid Hasyimi;Q123888067;Partai Keadilan Sejahtera;Q1511101
Abd. Wahid Yahya Mardani;Q123891074;Partai Amanat Nasional;Q2434365
Abdal;Q123870491;Partai Persatuan Pembangunan;Q2669302
Abdan Sakuro;Q123878983;Partai Hati Nurani Rakyat;Q4262041
Abdan Syakuro Lubis;Q123870078;Partai Keadilan Sejahtera;Q1511101
Abdi Hasan Subari;Q123699428;Partai Buruh;Q4203001
Abdi Kurniawan;Q123716304;Partai Kebangkitan Nusantara;Q115754699
Abdi Maskur;Q123887047;Partai Kebangkitan Bangsa;Q1257317
Abdi Rabani;Q123887700;Partai Garda Republik Indonesia;Q123553440
Abdi Rahman;Q123888904;Partai NasDem;Q4207219
Abdi Reynaldi;Q123892804;Partai Persatuan Pembangunan;Q2669302
Abdi Riduansyah;Q123889473;Partai NasDem;Q4207219
Abdi Santosa Ritonga;Q123869923;Partai Golongan Karya;Q1536552
Abdi Van Gobel;Q123890699;Partai Demokrasi Indonesia Perjuangan;Q1186306
Abdianto;Q123867259;Partai Demokrat (Indonesia);Q1186227
Abdika;Q123889801;Partai Demokrat (Indonesia);Q1186227
Abdil Rahman Zaenal;Q123716515;Partai Kebangkitan Nusantara;Q115754699
Abdila Albar;Q123895682;Partai Garda Republik Indonesia;Q123553440
Abdillah;Q123888794;Partai Golongan Karya;Q1536552
Abdinta Sembiring;Q123870607;Partai NasDem;Q4207219
Abdiyanto;Q123869531;Partai Golongan Karya;Q1536552
Abdon Siagian;Q123699370;Partai Persatuan Indonesia;Q19752495
Abdu;Q123866953;Partai Persatuan Indonesia;Q19752495
Abdu Rohman Mahmud;Q123883968;Partai NasDem;Q4207219
Abdu Rumkel;Q123897481;Partai Kebangkitan Bangsa;Q1257317
Abdu Syakur;Q123714112;Partai Persatuan Indonesia;Q19752495
Abduh Bakry Pabe;Q123892967;Partai Amanat Nasional;Q2434365
Abduh Hamid Koli Hobol;Q123888219;Partai Amanat Nasional;Q2434365
Abdul Aen;Q123887498;Partai Gerakan Indonesia Raya;Q4261459
Abdul Akhir;Q123715868;Partai Garda Republik Indonesia;Q123553440
Abdul Ali Simatupang;Q123870334;Partai Amanat Nasional;Q2434365
Abdul Arif;Q123872605;Partai Solidaritas Indonesia;Q23744654
Abdul Asis Bugis;Q123895010;Partai Gelombang Rakyat Indonesia;Q97016042
Abdul Azis;Q123710223;Partai Hati Nurani Rakyat;Q4262041
Abdul Azis;Q123876634;Partai Golongan Karya;Q1536552
Abdul Azis;Q123878922;Partai Persatuan Pembangunan;Q2669302
Abdul Azis;Q123885127;Partai Kebangkitan Bangsa;Q1257317
Abdul Azis;Q123885376;Partai Buruh;Q4203001
Abdul Azis;Q123893546;Partai NasDem;Q4207219
Abdul Azis Kerubun;Q123895352;Partai Kebangkitan Bangsa;Q1257317
Abdul Azis Kilkoda;Q123896409;Partai Hati Nurani Rakyat;Q4262041
Abdul Azis Muslim;Q123877639;Partai NasDem;Q4207219
Abdul Azis Namu;Q123892086;Partai Persatuan Pembangunan;Q2669302
Abdul Azis Pangeran;Q123892671;Partai Amanat Nasional;Q2434365
Abdul Aziz;Q123712989;Partai Persatuan Pembangunan;Q2669302
Abdul Aziz;Q123714958;Partai Persatuan Pembangunan;Q2669302
Abdul Aziz;Q123873511;Partai Solidaritas Indonesia;Q23744654
Abdul Aziz;Q123875015;Partai Kebangkitan Bangsa;Q1257317
Abdul Aziz;Q123877858;Partai Keadilan Sejahtera;Q1511101
Abdul Aziz;Q123879875;Partai Kebangkitan Bangsa;Q1257317
Abdul Aziz;Q123881757;Partai Kebangkitan Bangsa;Q1257317
Abdul Aziz;Q123882076;Partai NasDem;Q4207219
Abdul Aziz La Ode;Q123717198;Partai Persatuan Pembangunan;Q2669302
Abdul Bais;Q123711560;Partai Buruh;Q4203001
Abdul Bar As'ad;Q123873429;Partai Persatuan Pembangunan;Q2669302
Abdul Bari;Q123878217;Partai Bulan Bintang;Q2915024
Abdul Canter Sangaji;Q123876951;Partai NasDem;Q4207219
Abdul Choliq Rosjidi;Q123713454;Partai Kebangkitan Nusantara;Q115754699
Abdul Fakah;Q123885355;Partai Golongan Karya;Q1536552
Abdul Fikri;Q123879837;Partai Garda Republik Indonesia;Q123553440
Abdul Fikri Yanto;Q123873788;Partai Keadilan Sejahtera;Q1511101
Abdul Fitroh Ridho;Q123898265;Partai Persatuan Pembangunan;Q2669302
Abdul Gafur Ritonga;Q123714865;Partai NasDem;Q4207219
Abdul Gani Ge'e;Q123870199;Partai Keadilan Sejahtera;Q1511101
Abdul Gani Rahawarin;Q123897246;Partai Bulan Bintang;Q2915024
Abdul Gani Renleeuw;Q123895429;Partai Amanat Nasional;Q2434365
Abdul Gani Rumakat;Q123897556;Partai Solidaritas Indonesia;Q23744654
