kodeId:ID,nama,:LABEL
Q123874755,Abadi,Politikus
Q123874796,Abadi,Politikus
Q123889714,Abadi Saragih,Politikus
Q123711713,Abah Qomar,Politikus
Q123878357,Abah Ruskawan,Politikus
Q123894392,Abamedika,Politikus
Q123710443,Abang Hepi Tilanda,Politikus
Q123710516,Abang Muhammad Nasir,Politikus
Q123875198,Abang Sjachroel Arifin,Politikus
Q123887331,Abang Supirman,Politikus
Q123726526,,Politikus
Q123879119,Abas Hadi Mulyana,Politikus
Q123878537,Abas Kobasah,Politikus
Q123894989,Abas Lesnussa,Politikus
Q123716265,Abas Rosadi,Politikus
Q123891805,Abas Rusli,Politikus
Q123716678,Abbas,Politikus
Q123878396,Abbas,Politikus
Q123890444,Abbas Achmad,Politikus
Q123889819,Abbas Patiroi,Politikus
Q123709762,Abbas Said,Politikus
Q123894516,Abbas Wahid,Politikus
Q123883215,Abd Azis,Politikus
Q123894796,Abd Azis Kulla,Politikus
Q123893721,Abd Aziz Harun,Politikus
Q123895187,Abd Gani Latuconsina,Politikus
Q123866311,Abd Hadi Abidin,Politikus
Q123894750,Abd Haer,Politikus
Q123891995,Abd Hakim,Politikus
Q123892257,Abd Haris,Politikus
Q123892555,Abd Haris,Politikus
Q123716322,Abd Haris N Baginda,Politikus
Q123894715,Abd Kadir,Politikus
Q123886398,Abd Kadir Mau,Politikus
Q123895269,Abd Kadir Raharusun,Politikus
Q123894806,Abd Lathief Syukril Isnain,Politikus
Q123894446,Abd Latip A,Politikus
Q123714304,Abd Maujud Mansyoer,Politikus
Q123893718,Abd Rahim,Politikus
Q120838603,Abd Rahim H Jangi,Politikus
Q123892001,Abd Rahim Mas P Sanjata,Politikus
Q123886863,Abd Rahman,Politikus
Q123894817,Abd Rahman,Politikus
Q123894521,Abd Rahman Yahya,Politikus
Q123893999,Abd Rasid Salim,Politikus
Q123712285,Abd Razaq,Politikus
Q123712616,Abd Rokhim,Politikus
Q123882192,Abd. Afif Efendi,Politikus
Q123893521,Abd. Asis,Politikus
Q123883293,Abd. Azis,Politikus
Q123883807,Abd. Azis,Politikus
Q123889924,Abd. Aziz Barunda,Politikus
Q123895052,Abd. Aziz Hentihu,Politikus
Q123714183,Abd. Aziz Muslim,Politikus
Q123891033,Abd. Chair A. Mahmud,Politikus
Q123726128,,Politikus
Q123716428,Abd. Gani,Politikus
Q123710709,Abd. Halim,Politikus
Q123888492,Abd. Halim,Politikus
Q123874665,Abd. Hamid Shoheh,Politikus
Q123892058,Abd. Haris,Politikus
Q123883545,Abd. Haris Mz,Politikus
Q123889643,Abd. Jalil,Politikus
Q123883380,Abd. Kadir Assegaff,Politikus
Q123892481,Abd. Kadir Syah,Politikus
Q123883567,Abd. Lathif Syafi'i,Politikus
Q123892193,Abd. Majid S.,Politikus
Q123894546,Abd. Malik,Politikus
Q123894690,Abd. Malik. B.,Politikus
Q123891596,Abd. Manan,Politikus
Q123893895,Abd. Manan Podungge,Politikus
Q123716543,Abd. Mannang,Politikus
Q123870295,Abd. Muflih Simanullang,Politikus
