:START_ID,:END_ID,:TYPE
Q2669297,Q1145992,ALUMNI
Q16171755,Q12523355,ALUMNI
Q97590613,Q4745400,ALUMNI
Q97590613,Q12523455,ALUMNI
Q97590613,Q28950106,ALUMNI
Q97590613,Q109911108,ALUMNI
Q109437819,Q319078,ALUMNI
Q109437819,Q1145992,ALUMNI
Q109437819,Q19748156,ALUMNI
Q109437281,Q12523371,ALUMNI
Q106878534,Q3181122,ALUMNI
Q106878534,Q3213529,ALUMNI
Q12478452,Q5287796,ALUMNI
Q12478452,Q6754778,ALUMNI
Q12478452,Q7553485,ALUMNI
Q123726157,Q12510366,ALUMNI
Q123726157,Q12523294,ALUMNI
Q123726157,Q19746602,ALUMNI
Q5068118,Q1890262,ALUMNI
Q5068118,Q19727928,ALUMNI
Q5068118,Q19752649,ALUMNI
Q16172225,Q534515,ALUMNI
Q16172225,Q19735092,ALUMNI
Q18098280,Q1141728,ALUMNI
Q18098280,Q5108805,ALUMNI
Q18098280,Q7161482,ALUMNI
Q97590733,Q7894412,ALUMNI
Q25471350,Q1336952,ALUMNI
Q97596290,Q350752,ALUMNI
Q97596290,Q12510337,ALUMNI
Q65210443,Q1145992,ALUMNI
Q2751708,Q156598,ALUMNI
Q16172493,Q10862512,ALUMNI
Q12478651,Q7683446,ALUMNI
Q16172501,Q7408055,ALUMNI
Q16172501,Q97598818,ALUMNI
Q96988349,Q534515,ALUMNI
Q96988349,Q2308020,ALUMNI
Q96988349,Q12511291,ALUMNI
Q17410467,Q534515,ALUMNI
Q25468524,Q7894418,ALUMNI
Q123715087,Q280361,ALUMNI
Q123715087,Q19734560,ALUMNI
