:START_ID,:END_ID,tipe,:TYPE
Q72242117,Q12485373,PARENT,KERABAT
Q109706416,Q109541898,SPOUSE,KERABAT
Q109706416,Q96987679,SIBLING,KERABAT
Q2642883,Q60330208,CHILD,KERABAT
Q3318231,Q17410605,SPOUSE,KERABAT
Q3318231,Q18342893,CHILD,KERABAT
Q16187396,Q2669342,SIBLING,KERABAT
Q16187396,Q76227,PARENT,KERABAT
Q112896307,Q124794141,SPOUSE,KERABAT
Q25464531,Q109435954,CHILD,KERABAT
Q25464531,Q123714732,CHILD,KERABAT
Q25464531,Q123869922,CHILD,KERABAT
Q12491855,Q96988728,SIBLING,KERABAT
Q4200758,Q57405,SPOUSE,KERABAT
Q4200758,Q7424827,PARENT,KERABAT
Q4200758,Q7805962,CHILD,KERABAT
Q4200758,Q7806029,CHILD,KERABAT
Q4200758,Q7238276,SIBLING,KERABAT
Q4200758,Q12485356,SIBLING,KERABAT
Q138471534,Q19725424,PARENT,KERABAT
Q16188009,Q3569429,CHILD,KERABAT
Q131842522,Q22007292,PARENT,KERABAT
Q109861489,Q56417066,PARENT,KERABAT
Q96989567,Q131351990,SIBLING,KERABAT
Q96989567,Q109439810,PARENT,KERABAT
Q123871379,Q12482544,SIBLING,KERABAT
Q15272197,Q72242032,CHILD,KERABAT
Q15272197,Q12485373,SPOUSE,KERABAT
Q16188244,Q76167,SIBLING,KERABAT
Q16188244,Q12511575,SIBLING,KERABAT
Q16188244,Q981398,PARENT,KERABAT
Q109541675,Q13091583,CHILD,KERABAT
Q14917375,Q12501029,SIBLING,KERABAT
Q16188447,Q19724332,SPOUSE,KERABAT
Q28724425,Q123713415,SPOUSE,KERABAT
Q124295482,Q123871108,SIBLING,KERABAT
Q17410685,Q123870980,SPOUSE,KERABAT
Q12497093,Q5726481,SPOUSE,KERABAT
Q123711358,Q96987568,SPOUSE,KERABAT
Q123879045,Q16174166,PARENT,KERABAT
Q76179,Q15646541,CHILD,KERABAT
Q76179,Q17410937,CHILD,KERABAT
Q76179,Q4264069,SIBLING,KERABAT
Q76179,Q12507600,SIBLING,KERABAT
Q76179,Q12517042,SIBLING,KERABAT
Q76179,Q76127,PARENT,KERABAT
Q76179,Q468519,PARENT,KERABAT
Q60330208,Q2642883,PARENT,KERABAT
Q31174016,Q25469499,PARENT,KERABAT
Q31174016,Q25465872,SIBLING,KERABAT
Q4200159,Q13096807,SIBLING,KERABAT
Q18421350,Q136376383,CHILD,KERABAT
Q12498992,Q25457667,CHILD,KERABAT
Q123871415,Q17410837,SIBLING,KERABAT
Q12499308,Q97307184,SPOUSE,KERABAT
Q12499308,Q108896443,CHILD,KERABAT
Q17410769,Q123715037,CHILD,KERABAT
Q96989526,Q4208129,SIBLING,KERABAT
Q96989526,Q108775749,SIBLING,KERABAT
Q96989526,Q96987351,CHILD,KERABAT
Q96989526,Q123712207,CHILD,KERABAT
Q4208129,Q96989526,SIBLING,KERABAT
Q17410937,Q76179,PARENT,KERABAT
Q96987351,Q123712207,SIBLING,KERABAT
Q96987351,Q96989526,PARENT,KERABAT
Q123712207,Q96987351,SIBLING,KERABAT
Q123712207,Q96989526,PARENT,KERABAT
Q123871079,Q123715010,PARENT,KERABAT
Q3234938,Q4695305,SPOUSE,KERABAT
Q25469499,Q25465872,CHILD,KERABAT
Q25469499,Q31174016,CHILD,KERABAT
Q106659345,Q12515516,SPOUSE,KERABAT
Q58344774,Q3346474,SIBLING,KERABAT
Q6943523,Q12476446,PARENT,KERABAT
Q109861362,Q123895929,CHILD,KERABAT
Q109861362,Q61119223,SPOUSE,KERABAT
Q12499835,Q12475663,SPOUSE,KERABAT
Q12499835,Q12482565,SIBLING,KERABAT
Q17410837,Q123871415,SIBLING,KERABAT
Q123871309,Q65204229,SPOUSE,KERABAT
Q85993219,Q4213590,SPOUSE,KERABAT
Q85993219,Q123715014,CHILD,KERABAT
Q109443385,Q108901395,PARENT,KERABAT
Q109443385,Q112875043,SIBLING,KERABAT
Q109443385,Q16176030,PARENT,KERABAT
Q97307184,Q12499308,SPOUSE,KERABAT
Q109541898,Q109706416,SPOUSE,KERABAT
Q12501020,Q96987974,CHILD,KERABAT
Q96989175,Q12516581,SPOUSE,KERABAT
Q3346474,Q58344774,SIBLING,KERABAT
Q12501029,Q97217964,CHILD,KERABAT
Q12501029,Q14917375,SIBLING,KERABAT
Q123870980,Q17410685,SPOUSE,KERABAT
Q106594957,Q97590866,CHILD,KERABAT
Q17410890,Q16182795,SIBLING,KERABAT
Q17410890,Q123879721,SIBLING,KERABAT
Q12501197,Q12507742,CHILD,KERABAT
Q2591497,Q2140777,PARENT,KERABAT
Q2591497,Q22007292,CHILD,KERABAT
Q2140777,Q2591497,CHILD,KERABAT
Q22007292,Q2591497,PARENT,KERABAT
Q17410818,Q7262402,CHILD,KERABAT
Q97217964,Q12501029,PARENT,KERABAT
Q112896270,Q12482416,PARENT,KERABAT
Q12503831,Q12517042,PARENT,KERABAT
Q56399371,Q16180910,PARENT,KERABAT
Q25467966,Q123583249,SPOUSE,KERABAT
Q25467966,Q12523651,CHILD,KERABAT
Q97191948,Q17410464,PARENT,KERABAT
Q2107268,Q12515517,SPOUSE,KERABAT
Q12506310,Q17411765,SPOUSE,KERABAT
Q12506342,Q107564265,CHILD,KERABAT
Q7238276,Q7424827,PARENT,KERABAT
Q7238276,Q4200758,SIBLING,KERABAT
Q49256793,Q7647367,PARENT,KERABAT
Q15646541,Q100573485,CHILD,KERABAT
Q15646541,Q76179,PARENT,KERABAT
Q96988370,Q18421322,PARENT,KERABAT
Q18421415,Q19743834,PARENT,KERABAT
Q7262402,Q17410818,PARENT,KERABAT
Q25457667,Q12498992,PARENT,KERABAT
Q124160461,Q4260406,PARENT,KERABAT
Q124160461,Q16164694,SPOUSE,KERABAT
Q12507600,Q76179,SIBLING,KERABAT
Q12507600,Q4264069,SIBLING,KERABAT
Q12507600,Q12517042,SIBLING,KERABAT
Q12507600,Q76127,PARENT,KERABAT
Q12507600,Q468519,PARENT,KERABAT
Q3569429,Q16188009,PARENT,KERABAT
Q19731920,Q98635249,SPOUSE,KERABAT
Q25469565,Q61118413,SIBLING,KERABAT
Q25469565,Q96988704,SIBLING,KERABAT
Q25466277,Q123152749,CHILD,KERABAT
Q19752642,Q96989170,SPOUSE,KERABAT
Q19752642,Q56161334,SIBLING,KERABAT
Q12507742,Q12501197,PARENT,KERABAT
Q7295346,Q107563597,SPOUSE,KERABAT
Q96989087,Q85988791,SIBLING,KERABAT
Q7296050,Q15620237,SPOUSE,KERABAT
Q7296050,Q16167068,CHILD,KERABAT
Q7296050,Q85988757,CHILD,KERABAT
Q17410464,Q97191948,CHILD,KERABAT
Q6107468,Q4683174,SPOUSE,KERABAT
Q56417066,Q109861489,CHILD,KERABAT
Q7333042,Q120203438,SPOUSE,KERABAT
Q108775749,Q96989526,SIBLING,KERABAT
Q93388029,Q25469477,PARENT,KERABAT
Q93388029,Q17410841,PARENT,KERABAT
Q96988731,Q120203376,CHILD,KERABAT
Q123891590,Q12523651,SPOUSE,KERABAT
Q61118739,Q123887063,SPOUSE,KERABAT
Q10860321,Q123290562,SPOUSE,KERABAT
Q19752677,Q10860115,PARENT,KERABAT
Q7387595,Q7429323,SPOUSE,KERABAT
Q25467522,Q123710616,CHILD,KERABAT
Q9072611,Q106988389,SPOUSE,KERABAT
Q12511575,Q76167,SIBLING,KERABAT
Q12511575,Q16188244,SIBLING,KERABAT
Q12511575,Q981398,PARENT,KERABAT
Q96988337,Q123725958,CHILD,KERABAT
Q96988337,Q109434195,SPOUSE,KERABAT
Q7424827,Q4200758,CHILD,KERABAT
Q7424827,Q7238276,CHILD,KERABAT
Q7424827,Q12485356,CHILD,KERABAT
Q25469353,Q96988678,CHILD,KERABAT
Q109541228,Q7586175,SPOUSE,KERABAT
Q7429323,Q7387595,SPOUSE,KERABAT
Q16178444,Q109448985,SIBLING,KERABAT
Q131406018,Q97189463,SPOUSE,KERABAT
Q6065704,Q109450544,SPOUSE,KERABAT
Q4264061,Q3572174,CHILD,KERABAT
Q4264061,Q76167,SPOUSE,KERABAT
Q12515425,Q135457435,PARENT,KERABAT
Q109696393,Q76127,PARENT,KERABAT
Q12515516,Q106659345,SPOUSE,KERABAT
Q56670739,Q105348151,SIBLING,KERABAT
Q18421248,Q109426088,CHILD,KERABAT
Q10860115,Q19752677,CHILD,KERABAT
Q10860115,Q61119038,CHILD,KERABAT
Q12518358,Q16187552,SPOUSE,KERABAT
Q7538599,Q5395350,SIBLING,KERABAT
Q1306699,Q111371455,SPOUSE,KERABAT
Q44819,Q4201169,SPOUSE,KERABAT
Q44819,Q12473900,CHILD,KERABAT
Q44819,Q12515517,CHILD,KERABAT
Q109430931,Q2470857,SIBLING,KERABAT
Q16182795,Q17410890,SIBLING,KERABAT
Q16182795,Q123879721,SIBLING,KERABAT
Q7586175,Q109541228,SPOUSE,KERABAT
Q17411428,Q16182199,SPOUSE,KERABAT
Q17411443,Q123712582,SPOUSE,KERABAT
Q96987568,Q123711358,SPOUSE,KERABAT
Q12516581,Q96989175,SPOUSE,KERABAT
Q12516588,Q132671021,CHILD,KERABAT
Q109434195,Q96988337,SPOUSE,KERABAT
Q109434195,Q123725958,CHILD,KERABAT
Q76127,Q468519,SPOUSE,KERABAT
Q76127,Q76179,CHILD,KERABAT
Q76127,Q4264069,CHILD,KERABAT
Q76127,Q12507600,CHILD,KERABAT
Q76127,Q12517042,CHILD,KERABAT
Q12517042,Q76179,SIBLING,KERABAT
Q12517042,Q4264069,SIBLING,KERABAT
Q12517042,Q76127,PARENT,KERABAT
Q12517042,Q468519,PARENT,KERABAT
Q12517042,Q12503831,CHILD,KERABAT
Q12517042,Q12507600,SIBLING,KERABAT
Q15487091,Q12472734,SIBLING,KERABAT
Q123290568,Q123726148,CHILD,KERABAT
Q7647367,Q49256793,CHILD,KERABAT
Q57405,Q4200758,SPOUSE,KERABAT
Q57405,Q7805962,CHILD,KERABAT
Q57405,Q7806029,CHILD,KERABAT
Q2470857,Q109430931,SIBLING,KERABAT
Q4201482,Q16176817,CHILD,KERABAT
Q25463204,Q123871039,SPOUSE,KERABAT
Q10860301,Q97590819,CHILD,KERABAT
Q10860301,Q97670139,CHILD,KERABAT
Q10860301,Q97670151,CHILD,KERABAT
Q13097746,Q108895908,CHILD,KERABAT
Q17410877,Q5257826,SIBLING,KERABAT
Q5257826,Q17410877,SIBLING,KERABAT
Q61118532,Q123870589,SPOUSE,KERABAT
Q4201169,Q44819,SPOUSE,KERABAT
Q4201169,Q12473900,CHILD,KERABAT
Q4201169,Q12515517,CHILD,KERABAT
Q12515517,Q12473900,SIBLING,KERABAT
Q12515517,Q44819,PARENT,KERABAT
Q12515517,Q2107268,SPOUSE,KERABAT
Q12515517,Q4201169,PARENT,KERABAT
Q12521725,Q123712384,CHILD,KERABAT
Q135457435,Q12515425,CHILD,KERABAT
Q4258815,Q15993516,CHILD,KERABAT
Q15993516,Q4258815,PARENT,KERABAT
Q12522317,Q123883012,CHILD,KERABAT
Q96988728,Q12491855,SIBLING,KERABAT
Q123714732,Q109435954,SIBLING,KERABAT
Q123714732,Q123869922,SIBLING,KERABAT
Q123714732,Q25464531,PARENT,KERABAT
Q56524376,Q56511458,SIBLING,KERABAT
Q56524376,Q2840640,SIBLING,KERABAT
Q56524376,Q105970940,CHILD,KERABAT
Q56524376,Q55766298,PARENT,KERABAT
Q72242083,Q12485373,PARENT,KERABAT
Q17410716,Q17410444,CHILD,KERABAT
Q12523651,Q123583249,PARENT,KERABAT
Q12523651,Q25467966,PARENT,KERABAT
Q12523651,Q123891590,SPOUSE,KERABAT
Q17411636,Q17410716,PARENT,KERABAT
Q17410444,Q17410716,PARENT,KERABAT
Q981398,Q76167,CHILD,KERABAT
Q981398,Q12511575,CHILD,KERABAT
Q981398,Q16188244,CHILD,KERABAT
Q17411648,Q183581,SIBLING,KERABAT
Q109496123,Q12485387,PARENT,KERABAT
Q12524985,Q123877445,CHILD,KERABAT
Q56391957,Q12478642,PARENT,KERABAT
Q3572174,Q76167,PARENT,KERABAT
Q3572174,Q4264061,PARENT,KERABAT
Q109448985,Q16178444,SIBLING,KERABAT
Q116216082,Q112167662,PARENT,KERABAT
Q25466566,Q4260406,SIBLING,KERABAT
Q112167662,Q116216082,CHILD,KERABAT
Q17411765,Q12506310,SPOUSE,KERABAT
Q31173248,Q4260406,PARENT,KERABAT
Q65204229,Q123871309,SPOUSE,KERABAT
Q20278570,Q123871450,CHILD,KERABAT
Q4260406,Q31173248,CHILD,KERABAT
Q4260406,Q104155065,CHILD,KERABAT
Q4260406,Q25466119,SIBLING,KERABAT
Q4260406,Q25466566,SIBLING,KERABAT
Q123712125,Q109437117,SIBLING,KERABAT
