:START_ID,:END_ID,:TYPE
Q123716619,Q1511101,ANGGOTA_PARTAI
Q123893559,Q97016042,ANGGOTA_PARTAI
Q123710275,Q1536552,ANGGOTA_PARTAI
Q123891534,Q1186306,ANGGOTA_PARTAI
Q123699750,Q2434365,ANGGOTA_PARTAI
Q123883193,Q1186227,ANGGOTA_PARTAI
Q123868751,Q19752495,ANGGOTA_PARTAI
Q123879815,Q97016042,ANGGOTA_PARTAI
Q123712801,Q4261459,ANGGOTA_PARTAI
Q123874823,Q4207219,ANGGOTA_PARTAI
Q123883842,Q1186306,ANGGOTA_PARTAI
Q123714647,Q4262041,ANGGOTA_PARTAI
Q123880269,Q1257317,ANGGOTA_PARTAI
Q123897289,Q2669302,ANGGOTA_PARTAI
Q123891889,Q1186306,ANGGOTA_PARTAI
Q123712697,Q106255756,ANGGOTA_PARTAI
Q123880052,Q2434365,ANGGOTA_PARTAI
Q123866607,Q106255756,ANGGOTA_PARTAI
Q123869224,Q4261459,ANGGOTA_PARTAI
Q123886954,Q106255756,ANGGOTA_PARTAI
Q123892620,Q1257317,ANGGOTA_PARTAI
Q123878130,Q4261459,ANGGOTA_PARTAI
Q123868451,Q19752495,ANGGOTA_PARTAI
Q123709712,Q2669302,ANGGOTA_PARTAI
Q123711116,Q2434365,ANGGOTA_PARTAI
Q123878303,Q97016042,ANGGOTA_PARTAI
Q123884402,Q1536552,ANGGOTA_PARTAI
Q123879492,Q4261459,ANGGOTA_PARTAI
Q123868587,Q19752495,ANGGOTA_PARTAI
Q123879526,Q97016042,ANGGOTA_PARTAI
Q123711911,Q115754699,ANGGOTA_PARTAI
Q123866647,Q1536552,ANGGOTA_PARTAI
Q123715334,Q1186227,ANGGOTA_PARTAI
Q123713988,Q23744654,ANGGOTA_PARTAI
Q123867944,Q2669302,ANGGOTA_PARTAI
Q123878551,Q1257317,ANGGOTA_PARTAI
Q123867471,Q4203001,ANGGOTA_PARTAI
Q123874171,Q19752495,ANGGOTA_PARTAI
Q123871253,Q4207219,ANGGOTA_PARTAI
Q123878869,Q2434365,ANGGOTA_PARTAI
Q123877922,Q2915024,ANGGOTA_PARTAI
Q123884128,Q97016042,ANGGOTA_PARTAI
Q123867201,Q4261459,ANGGOTA_PARTAI
Q123897856,Q1186306,ANGGOTA_PARTAI
Q123886610,Q1536552,ANGGOTA_PARTAI
Q123874755,Q1186227,ANGGOTA_PARTAI
Q123874796,Q4261459,ANGGOTA_PARTAI
Q123889714,Q4203001,ANGGOTA_PARTAI
Q123711713,Q2434365,ANGGOTA_PARTAI
Q123878357,Q1186306,ANGGOTA_PARTAI
Q123894392,Q19752495,ANGGOTA_PARTAI
Q123710443,Q1186227,ANGGOTA_PARTAI
Q123710516,Q2669302,ANGGOTA_PARTAI
Q123875198,Q19752495,ANGGOTA_PARTAI
Q123887331,Q106255756,ANGGOTA_PARTAI
Q123879119,Q1186227,ANGGOTA_PARTAI
Q123878537,Q2669302,ANGGOTA_PARTAI
Q123894989,Q4261459,ANGGOTA_PARTAI
Q123716265,Q106255756,ANGGOTA_PARTAI
Q123891805,Q2915024,ANGGOTA_PARTAI
Q123716678,Q1257317,ANGGOTA_PARTAI
Q123878396,Q123553440,ANGGOTA_PARTAI
Q123890444,Q2434365,ANGGOTA_PARTAI
Q123889819,Q2669302,ANGGOTA_PARTAI
Q123709762,Q115754699,ANGGOTA_PARTAI
Q123894516,Q4207219,ANGGOTA_PARTAI
Q123883215,Q1257317,ANGGOTA_PARTAI
Q123894796,Q4262041,ANGGOTA_PARTAI
Q123893721,Q2669302,ANGGOTA_PARTAI
Q123895187,Q23744654,ANGGOTA_PARTAI
Q123866311,Q1536552,ANGGOTA_PARTAI
Q123894750,Q2669302,ANGGOTA_PARTAI
Q123891995,Q106255756,ANGGOTA_PARTAI
Q123892555,Q97016042,ANGGOTA_PARTAI
Q123892257,Q4207219,ANGGOTA_PARTAI
Q123716322,Q2434365,ANGGOTA_PARTAI
Q123894715,Q1257317,ANGGOTA_PARTAI
Q123886398,Q97016042,ANGGOTA_PARTAI
Q123895269,Q19752495,ANGGOTA_PARTAI
Q123894806,Q2434365,ANGGOTA_PARTAI
Q123894446,Q1511101,ANGGOTA_PARTAI
Q123714304,Q123553440,ANGGOTA_PARTAI
Q123893718,Q2669302,ANGGOTA_PARTAI
Q120838603,Q1186306,ANGGOTA_PARTAI
Q123892001,Q1257317,ANGGOTA_PARTAI
Q123886863,Q4203001,ANGGOTA_PARTAI
Q123894817,Q19752495,ANGGOTA_PARTAI
Q123894521,Q97016042,ANGGOTA_PARTAI
Q123893999,Q2915024,ANGGOTA_PARTAI
Q123712285,Q2669302,ANGGOTA_PARTAI
Q123712616,Q97016042,ANGGOTA_PARTAI
Q123882192,Q2669302,ANGGOTA_PARTAI
Q123893521,Q4261459,ANGGOTA_PARTAI
Q123883807,Q2915024,ANGGOTA_PARTAI
Q123883293,Q4262041,ANGGOTA_PARTAI
Q123889924,Q115754699,ANGGOTA_PARTAI
Q123895052,Q2669302,ANGGOTA_PARTAI
Q123714183,Q115754699,ANGGOTA_PARTAI
Q123891033,Q4207219,ANGGOTA_PARTAI
Q123716428,Q2434365,ANGGOTA_PARTAI
Q123710709,Q1511101,ANGGOTA_PARTAI
Q123888492,Q106255756,ANGGOTA_PARTAI
Q123874665,Q106255756,ANGGOTA_PARTAI
Q123892058,Q2434365,ANGGOTA_PARTAI
Q123883545,Q2434365,ANGGOTA_PARTAI
Q123889643,Q1257317,ANGGOTA_PARTAI
Q123883380,Q4207219,ANGGOTA_PARTAI
Q123892481,Q2915024,ANGGOTA_PARTAI
Q123883567,Q1186227,ANGGOTA_PARTAI
Q123892193,Q2915024,ANGGOTA_PARTAI
Q123894546,Q2915024,ANGGOTA_PARTAI
