kodeId:ID,nama,:LABEL
Q7391096,SMA Negeri 3 Bandung,Pendidikan
Q19735196,SMA Negeri 3 Denpasar,Pendidikan
Q12510564,SMA Negeri 3 Jakarta,Pendidikan
Q12510569,SMA Negeri 3 Kota Malang,Pendidikan
Q12510572,SMA Negeri 3 Medan,Pendidikan
Q12510575,SMA Negeri 3 Padang,Pendidikan
Q75164773,SMA Negeri 3 Solok Selatan,Pendidikan
Q19748156,SMA Negeri 3 Yogyakarta,Pendidikan
Q31777795,SMA Negeri 30 Jakarta,Pendidikan
Q19735212,SMA Negeri 34 Jakarta,Pendidikan
Q12510549,SMA Negeri 36 Jakarta,Pendidikan
Q31778738,SMA Negeri 37 Jakarta,Pendidikan
Q12510550,SMA Negeri 39 Jakarta,Pendidikan
Q17997518,SMA Negeri 4 Jakarta,Pendidikan
Q12510611,SMA Negeri 4 Makassar,Pendidikan
Q19752881,SMA Negeri 4 Surabaya,Pendidikan
Q12510593,SMA Negeri 42 Jakarta,Pendidikan
Q12510595,SMA Negeri 47 Jakarta,Pendidikan
Q5287796,SMA Negeri 5 Bandung,Pendidikan
Q12510627,SMA Negeri 5 Banjarmasin,Pendidikan
Q17997530,SMA Negeri 5 Jakarta,Pendidikan
Q12510632,SMA Negeri 5 Kota Jambi,Pendidikan
Q12510646,SMA Negeri 5 Surabaya,Pendidikan
Q19748166,SMA Negeri 5 Yogyakarta,Pendidikan
Q17997383,SMA Negeri 50 Jakarta,Pendidikan
Q12510656,SMA Negeri 6 Jakarta,Pendidikan
Q19752279,SMA Negeri 6 Manado,Pendidikan
Q12510660,SMA Negeri 6 Padang,Pendidikan
Q19739360,SMA Negeri 6 Surakarta,Pendidikan
Q12510668,SMA Negeri 6 Yogyakarta,Pendidikan
Q12510648,SMA Negeri 66 Jakarta,Pendidikan
Q7391097,SMA Negeri 68 Jakarta,Pendidikan
Q12510680,SMA Negeri 7 Denpasar,Pendidikan
Q12510681,SMA Negeri 7 Jakarta,Pendidikan
Q12510684,SMA Negeri 7 Medan,Pendidikan
Q12510693,SMA Negeri 7 Surakarta,Pendidikan
Q12707341,SMA Negeri 70 Jakarta,Pendidikan
Q12510700,SMA Negeri 8 Bandung,Pendidikan
Q7391101,SMA Negeri 8 Jakarta,Pendidikan
Q12510696,SMA Negeri 81 Jakarta,Pendidikan
Q7391099,SMA Negeri 82 Jakarta,Pendidikan
Q20448866,SMA Negeri 9 Jakarta,Pendidikan
Q12510732,SMA Negeri 9 Surabaya,Pendidikan
Q7391421,SMA Pangudi Luhur Jakarta,Pendidikan
Q12510739,SMA Pangudi Luhur Van Lith,Pendidikan
Q100418860,SMA Perintis Denpasar,Pendidikan
Q123453757,SMA Pesantren Immim,Pendidikan
Q123454290,SMA Setia Dharma,Pendidikan
Q64895246,SMA Taman Siswa,Pendidikan
Q7686944,SMA Taruna Nusantara,Pendidikan
Q64575776,SMA Tunas Harapan,Pendidikan
Q57947176,SMA Xaverius 1 Palembang,Pendidikan
Q98202744,SMA YPK ASISI,Pendidikan
Q25457836,SMA Yos Sudarso Cilacap,Pendidikan
Q97572684,SMAN I Tanjung Karang,Pendidikan
Q97572683,SMAN I Ujung Pandang,Pendidikan
Q123394986,SMK Negeri 1 Muna,Pendidikan
Q123395804,SMK Negeri 1 Pangkalpinang,Pendidikan
Q31173835,SMK Negeri 2 Sawahlunto,Pendidikan
Q19752277,SMK Negeri 2 Surakarta,Pendidikan
Q123395170,SMK Negeri 3 Ambon,Pendidikan
Q31778877,SMK Negeri 51 Jakarta,Pendidikan
Q123395567,SMK Pertanian Pembangunan Negeri Bengkulu,Pendidikan
Q31778737,SMK Walisongo Jakarta,Pendidikan
Q64872996,SMP 17 Agustus,Pendidikan
